Aaron Jeffery
Adam Garcia
Alan Fletcher
Alan Hopgood
Alan Marshal
Albert Arlen
Alex Dimitriades
Alex Menglet
Alfred Frith
Alistair MacDougall
Allan Cuthbertson
Alwyn Kurts
Andrew Clarke
Andrew McFarlane
Andrew McKaige
Andrew S. Gilbert
Andy Anderson
Anthony Hawkins
Anthony Hayes
Anthony LaPaglia
Antony Hamilton
Arthur Dignam
Arthur Frederick Dicks
Arthur Tauchert
Augustus Neville
Fred Esmelton
Fred MacDonald
Fredric Abbott
Henri Szeps
Joff Ellen
John Adam
John Alden
John Atkinson
John Cosgrove
John Dease
John Dommett
John E. C. Appleton
John Ewart
John Fernside
John Frawley
John Gregg
John Hamblin
John Hargreaves
John Howard
John Lee
John Meillon
John Noble
John Nugent-Hayward
John Orcsik
John Pyper-Ferguson
John Saul
John Seru
John Stanton
John Tate
John Warwick
John Wood
John Wood
Leigh Bowery
Leo McKern
Leon Lissek
Leonard Teale
Barry Humphries
Barry Otto
Barry Quin
Ben Lawson
Ben Mendelsohn
Ben Mingay
Bernard Curry
Bert Bailey
Billy Bevan
Bob Baines
Bob Maza
Bobby Fox
Bobby Limb
Brad Allan
Bren Foster
Brendan Cowell
Brett Climo
Brian Abbot
Brian Blain
Brian Crossley
Brian Moll
Brian Wenzel
Bryan Brown
Bud Tingwell
C. Montague Shaw
Cameron Daddo
Carrillo Gantner
Geoffrey Rush
George Beranger
George Bryant
George Cross
George Edwards
George Lazenby
George Mallaby
George Randall
Grant Bowler
Grant Dodwell
Grant Taylor
Ian Gilmour
Ian Smith
Lou Vernon
Murray Fahey
Murray Foy
Murray Matheson
Pat Twohill
Sullivan Stapleton
Tai Nguyen
Tal Ordell
Richard James Allen
Richard Meikle
Richard Moir
Rick Springfield
Steven Tandy
Stewart Ginn
Tony Nikolakopoulos
Vincent Ball
Vincent Gil
William McInnes
Willie Fennell
Chard Hayward
Charles Coleman
Charles Villiers
Dominic Purcell
Don Barker
Don Crosby
Don Hany
Guy Pearce
Ingo Rademacher
Jeff Fatt
Josh Lawson
Joss Ambler
Julian McMahon
Mat Stevenson
Matt Doran
Neil Fanning
Neil Melville
Nicholas Bishop
Nicholas Gledhill
Nicholas Hope
Nick Giannopoulos
Nick Russell
Nigel Bradshaw
Nikolas Vogel
Oscar Asche
Oscar Redding
Reg Goldsworthy
Reg Lye
Roy Rene
Sam Worthington
Scott Major
Scott McNeil
Sean Scully
Tim Ross
Tracey Lee
Trevor Jamieson
Trevor Kent
Felix Williamson
Gareth Yuen
Garry McDonald
Garry Meadows
Gary Files
Gaston Mervale
Godfrey Cass
Kevin Harrington
Kevin Lindsay
Kevin Miles
Kick Gurry
Kieran Darcy-Smith
Leslie Dayman
Lewis Fitz-Gerald
Lex Marinos
Maurie Fields
Max Phipps
Michael Beecher
Michael Caton
Michael Falzon
Michael Hutchence
Michael Long
Nash Edgerton
Nathan Cavaleri
Nathan Lovejoy
Walter Pym
Wilbur Dartnell
Wynn Roberts
Corey Page
Craig Fong
Craig McLachlan
Ellis Irving
Eric Bana
Francis Bell
Frank Baker
Frank Gallacher
Frank Gatliff
Frank Hagney
Frank Harvey
Frank Leighton
Frank Lloyd
Frank O'Donnell
Frank Thring
Gerard Kennedy
Gerard Maguire
Gerry Duggan
Gil Perkins
Gilbert Emery
Glenn Butcher
Glenn McMillan
Glenn Robbins
Gordon Chater
Gordon Collingridge
Gordon Piper
Lionel Long
Luke Carroll
Mark Mitchell
Mark Owen-Taylor
Mark Stevens
Martin Lynes
Martin Sacks
Martin Vaughan
Michael Winchester
Shane Connor
Shane Porteous
Shane Withington
Simon Baker
Stefan Dennis
Stephen Curry
Steve Bastoni
Steve Bisley
Steve Dodd
Steve Le Marquand
Syd Conabere
Syd Heylen
Sydney Deane
Sze Yu
Tom Oliver
Tommy Dysart
Tony Alvarez
Tony Barry
Tony Briggs
Chips Rafferty
Chris Scalzo
Christopher Doyle
Christopher Egan
Clyde Cook
Cyril Ritchard
Dallas Cairns
Damien Garvey
Damien Richardson
Damon Herriman
Dan Spielman
Daniel Collopy
Daniel Pollock
Daniel Wyllie
Danny Roberts
David Dunbar
David Field
David Nettheim
David Roberts
David Wenham
Dick Bentley
Dick Fair
Dieter Brummer
Dig Richards
Dion Titheradge
Edward Ashley-Cooper
Edward Hepple
Edward Howell
Ernie Bourne
Ernie Dingo
Errol Flynn
Flea
Hugh Jackman
Hugh Keays-Byrne
Jack Cannot
Jack Charles
Jack Thompson
Jake Ryan
Jason Clarke
Jesse Spencer
Jim Holt
Joe Hasham
Joel Edgerton
Keith Michell
Keith Scott
Kelton Pell
Ken Shorter
Ken Wayne
Kenneth J. Warren
Ray Barrett
Ray Meagher
Lachy Hulme
Martyn Keith
Masa Yamaguchi
Serge Lazareff
Timothy Conigrave
William Carter
William Freshman
Greg Stone
James Smillie
James Stewart
Jonathan LaPaglia
Joseph Singleton
Rod Mullinar
Rod Taylor
Roland Conway
Rolf Harris
Russell Dykstra
Russell Kiefel
Russell Napier
Ryan Kwanten
Snowy Baker
Snub Pollard
Socratis Otto
Ted McNamara
Heath Ledger
J. P. McGowan
Paul Cronin
Paul Denny
Paul Goddard
Paul Hogan
Paul Livingston
Paul McDermott
Paul Smith
Peter Adams
Peter Archer
Peter Bensley
Peter Collingwood
Peter Curtin
Peter Finch
Peter Gwynne
Peter Hardy
Peter Hayes
Peter Kelamis
Peter O'Brien
Peter Pagan
Peter Rowsthorn
Peter Whitford
Philip Hyde
Philip Quast
Wayne Blair
Wayne Jarratt
Marc McDermott
Marcus Graham
O. P. Heggie
Robert Greig
Robert Helpmann
Robert Hughes
Robert Jewell
Robert McDarra
Robert Rabiah
Robert Taylor
Robert Tudawali
Noah Taylor
Noel Ferrier
Norman Coburn
Rhys Wakefield
Rian McLean
Richard Carter
Ron Frazer
Ron Graham
Ron Randell
Ron Shand
