Alexander Voronov
Anani Yavashev
Andrei Slabakov
Angel Savov
Anton Gorchev
Apostol Karamitev
Asen Kisimov
Iossif Surchadzhiev
Bashar Rahal
Boris Chernev
Boris Grezov
Sava Hashamov
Stoyan Gadev
Vladimir Karamazov
Yuriy Yakovlev
Nikola Anastasov
Nikola Todev
Nikolay Nikolov
Rousy Chanev
Vasil Binev
Vasil Gendov
Georgi Cherkelov
Georgi Georgiev-Getz
Georgi Georgiev-Gogo
Georgi Kaloyanchev
Georgi Mamalev
Georgi Partsalev
Georgi Rusev
Kamen Donev
Konstantin Kisimov
Konstantin Kotsev
Kosta Tsonev
Lyubomir Neikov
Stefan Valdobrev
Dimitar Buynozov
Dimitar Manchev
Dimitar Panov
Dimitar Rachkov
Dimitar Stoyanov
Evstati Stratev
Filip Trifonov
Moshe Dvoretzky
Todor Kolev
Grigor Vachkov
Hristo Garbov
Kiril Gospodinov
Hindo Kasimov
Itzhak Fintzi
Peter Slabakov
Velko Kanev
