Austin Wai
Fu Biao
Fung Hak-On
Lee Hoi-chuen
Lee Kwan
Li Baotian
Li Chen
Li Xuejian
Li Yapeng
Bao Guo'an
Bowie Wu
Cao Yu
Ge You
Lai Hang
Lam Suet
Lan Tianye
Lo Hoi-pang
Mo Tse
Stanley Fung
Sun Honglei
Sun Ma Sze Tsang
Tang Guoqiang
Tao Jin
Tao Zeru
Richard Ng
Willie Fung
You Yong
Yu Chenghui
Yu Kuizhi
Yu Rongguang
Yuan Muzhi
Yuan Yuan
Yueh Hua
Yuen Siu-tien
Zhang Fengyi
Zhang Hanyu
Chan Hung-lit
Chang Feng
Chang Fu-chien
Chang Yi
Dong Yong
Du Yulu
Duan Yihong
H.W. Gim
Ng Man-tat
Ni Dahong
Shi Hui
Shi Pei Pu
Shih Kien
Ti Lung
Tien Feng
Feng Yuanzheng
King Hu
Ku Feng
Kwan Hoi-san
Kwan Tak-hing
Miao Tien
Michael Chow
Michael Chow
Michael Miu
Walter Tso
Wang Qianyuan
Wang Qun
Wang Yin
Wang Ying
Wang Zhiwen
Wu Gang
Wu Jing
Wu Ma
Wu Rujun
Wu Yue
Wu Zhaonan
Elvis Tsui
Kong Ngai
Law Kar-ying
Lin Yongjian
Luo Pinchao
Mei Baojiu
Mei Lanfang
Shang Xiaoyun
Sihung Lung
Sze Yu
Tong Dawei
Zhang Jin
Zhang Jun
Zhang Tielin
Zhang Yimou
Zhao Changjun
Zhao Dan
Zheng Junli
Zhou Jie
Zhou Xiaowen
Zhou Xinfang
Zhu Guanghu
Zhu Shimao
Zu Feng
Chen Daoming
Chen Jianbin
Chen Qiang
Chen Shi-Zheng
Cheng Yanqiu
Chin Han
Chor Yuen
Ding Guangquan
Evergreen Mak Cheung-ching
Jet Li
Ji Qilin
Jia Hongsheng
Jiang Wen
Jiang Wu
Jin Shan
Jin Yan
Kenneth Tsang
Raymond Lam
Lau Kar-leung
Lu Yi
Ma-Xu Weibang
Ma Dehua
Ouyang Yuqian
Ouyang Zhongshi
Wong Hok-Sing
Guo Da
Guo Liang
Guo Qiru
Guo Tao
Ha Yu
Hou Baolin
Hou Yao
Hou Yong
Huang Lei
Huang Tsung-hsing
Huang Xiaoming
Huang Yu
Huang Zhizhong
Liu Dagang
Liu Hua
Liu Ling Tong
Liu Peiqi
Liu Qiong
Liu Xiao Ling Tong
Liu Ye
Mu Tiezhu
Peter Yang
Wei Zongwan
Liao Fan
Pan Changjiang
Pan Qingfu
Robert Ya Fu Lee
Xia Yu
Xu Zheng
Xun Huisheng
Yan Huaili
Norman Chui
Tu Men
