Adolf Dobrovolný
Antonín Molčík
Bolek Polívka
Břetislav Rychlík
George Voskovec
Miroslav Hanuš
Miroslav Macháček
Miroslav Táborský
Přemysl Pražský
Oldřich Nový
Saša Rašilov
Saša Rašilov
Theodor Pištěk
Viktor Preiss
Vladimír Brabec
Vladimír Menšík
Vladimír Ráž
Vladimír Slavínský
Vladimír Šmeral
Vlasta Burian
Vlastimil Brodský
Zdeněk Svěrák
Matěj Hádek
Ota Sklenčka
Rudolf Deyl Jr.
Rudolf Hrušínský
Felix Holzmann
Ferenc Futurista
Kryštof Hádek
Eman Fiala
Francis Lederer
František Filipovský
František Hanus
František Kreuzmann
František Smolík
Karel Effa
Karel Fiala
Karel Hašler
Karel Hruška
Karel Höger
Karel Lamač
Karel Roden
Martin Dejdar
Martin Finger
Martin Frič
Martin Havelka
Martin Hub
Martin Myšička
Martin Písařík
Martin Růžek
Martin Štěpánek
Michal Jagelka
Michal Suchánek
Tomáš Matonoha
David Novotný
Eduard Vojan
Evald Schorm
Hugo Haas
Jaromír Dulava
Jaromír Hanzlík
Jaroslav Marvan
Jaroslav Satoranský
Jaroslav Vojta
Jindřich Plachta
Jiří Adamíra
Jiří Holý
Jiří Kodet
Jiří Langmajer
Jiří Pleskot
Jiří Schmitzer
Jiří Sovák
Jiří Šlitr
Miloslav Holub
Miloš Kopecký
Raoul Schránil
Ladislav Boháč
Ladislav Pešek
Ladislav Potměšil
Lubomír Lipský
Lubor Tokoš
Luděk Sobota
Gustav Machatý
Gustav Nezval
Jan Antonín Duchoslav
Jan Hartl
Jan Hrušínský
Jan Kraus
Jan Pivec
Jan S. Kolár
Jan Skopeček
Jan Sviták
Jan W. Speerger
Jan Werich
Josef Abrhám
Josef Hlinomaz
Josef Kemr
Josef Mach
Josef Rovenský
Josef Skřivan
Josef Somr
Josef Šváb-Malostranský
Roman Zach
Svatopluk Innemann
Čeněk Šlégl
Čestmír Řanda
Ivan Jandl
Ivan Trojan
Ivan Vyskočil
Ivo Niederle
Pavel Kříž
Pavel Liška
Pavel Trávníček
Pavel Zedníček
Petr Haničinec
Petr Kostka
Petr Svojtka
Petr Čepek
Petr Čtvrtníček
Marek Eben
Marek Taclík
Ondřej Vetchý
Václav Glazar
Václav Lohniský
Václav Marhoul
Václav Neckář
Václav Postránecký
Václav Trégl
Václav Vydra
