Aake Kalliala
Aarne Orjatsalo
Aku Korhonen
Antti Litja
Antti Reini
Arvo Lehesmaa
Asko Sarkola
Asser Fagerström
Hemmo Kallio
Leevi Kuuranne
Leo Jokela
Leo Riuttu
Carl von Haartman
Georg Malmstén
Taneli Mäkelä
Tapio Rautavaara
Tarmo Manni
Tauno Palo
Oiva Sala
Olavi Ahonen
Olavi Reimas
Olavi Virta
Pekka Elomaa
Saulo Haarla
Vilho Siivola
Vili Auvinen
Ville Salminen
William Markus
Juhani Kumpulainen
Matti Mäntylä
Matti Pellonpää
Matti Ruohola
Mikko Niskanen
Samuli Edelmann
Kunto Ojansivu
Elis Sella
Ilkka Koivula
Ilmari Saarelainen
Ilmari Unho
Jussi Jurkka
Kari Hietalahti
Kari Väänänen
Konrad Tallroth
Kosti Klemelä
Markku Huhtamo
Tommi Rinne
Eero Aho
Eero Kilpi
Eero Roine
Esa Pakarinen
Esko Salminen
Eugen Malmstén
Jaakko Pakkasvirta
Jaakko Saariluoma
Jalmari Parikka
Jarmo Koski
Joel Rinne
Rauli Tuomi
Kaarlo Halttunen
Kai Lehtinen
Kalervo Nissilä
Martti Katajisto
Martti Pennanen
Masa Niemi
Paavo Piironen
Seppo Kolehmainen
Toivo Mäkelä
Hannes Häyrinen
Jope Ruonansuu
Jorma Nortimo
Kauko Helovirta
Teijo Eloranta
Urho Somersalmi
Åke Lindman
Heikki Savolainen
Pentti Irjala
Reino Tolvanen
Reino Valkama
Risto Aaltonen
Teuvo Puro
Teuvo Tulio
Ture Junttu
Uljas Kandolin
Veijo Pasanen
Veikko Sinisalo
Vesa-Matti Loiri
Väinö Lehmus
