Aaron Jeffery
Adam Gardiner
Alan Dale
Alistair Browning
Andrew Laing
Andrew Robertt
Andy Anderson
Antonio Te Maioha
Antony Starr
Ari Boyland
Joel Tobeck
John Bach
John Karlsen
John Leigh
Bill Stalker
Billy T. James
Blair Strang
Brian Sergent
Bruce Hopkins
Bruce Wightman
Bruno Lawrence
Cameron Rhodes
George Henare
Ian Gilmour
Pat Twohill
Temuera Morrison
Terence Bayler
Merton Hodge
Ricky May
Shimpal Lelisi
Victor Rodger
Inia Te Wiata
Jed Brophy
Jeffrey Thomas
Jemaine Clement
Julian Arahanga
Mike Ginn
Redmond Phillips
Roy Billing
Roy Leywood
Sam Neill
Scott Wills
Tim Balme
Kieren Hutchison
Michael Galvin
Craig Parker
Karl Burnett
Lee Donoghue
Mark Hadlow
Martin Henderson
Stephen Lovatt
Stephen Papps
Tom Hern
Chic Littlewood
Cliff Curtis
Clive Revill
Daniel Gillies
Daniel Logan
David Aston
David Warbeck
David de Lautour
Dean O'Gorman
Dwayne Cameron
Ewen Solon
Jacob Rajan
Jacob Tomuri
Jason Hoyte
Jay Ryan
Jim Booth
Joe Naufahu
Pua Magasiva
Rawiri Paratene
Ray Henwood
Marton Csokas
Martyn Sanderson
Timothy Bartlett
William Kircher
Winter Hall
Guy Doleman
Hori Ahipene
Karl Urban
Kirk Torrance
Lloyd Berrell
Russell Crowe
Harold Baigent
Paul Gittins
Paul McIver
Peter Adams
Peter Daube
Peter Elliott
Peter Gwynne
Peter McCauley
Renato Bartolomei
Robbie Magasiva
Robert Harte
Prince Tui Teka
Richard Campion
Ronald Sinclair
