A. de Herz
Amza Pellea
Anghel Mora
Ioan Fiscuteanu
Ioan Gyuri Pascu
Ion Besoiu
Ion Caramitru
Ion Popescu-Gopo
George Alexandru
Mircea Anca
Mircea Diaconu
Mircea Veroiu
Mitică Popescu
Victor Rebengiuc
Vladimir Găitan
Doru Năstase
Dragoș Bucur
Jean Constantin
Mihai Fotino
Nicolae Secăreanu
Nicu Constantin
Sebastian Papaiani
Traian Stănescu
Dem Rădulescu
Kristaq Antoniu
Valentin Plătăreanu
Colea Răutu
Constantin Codrescu
Constantin Tănase
Emil Botta
Emil Hossu
Emil Hoștină
Gheorghe Dinică
Gheorghe Dănilă
Lupu Pick
Toma Caragiu
Claudiu Bleonț
Dinu Cocea
Eusebiu Ștefănescu
Florian Pittiș
Florin Piersic
Florin Zamfirescu
Radu Beligan
Ovidiu Iuliu Moldovan
Ștefan Bănică Jr.
Ștefan Ciubotărașu
Grigore Vasiliu Birlic
Nae Lăzărescu
Șerban Cantacuzino
Haralamb Lecca
Marcel Iureș
