Africa Tsoai
Andrew Buckland
Arnold Vosloo
Athol Fugard
John Kani
John Van Eyssen
Basil Rathbone
Brian Murray
Graham Payn
Stan Schmidt
Cecil Kellaway
Donald Gray
Donald Randolph
Roy Hart
Sean Cameron Michael
Mduduzi Mabaso
Walter Armitage
Frank Opperman
Gert van den Bergh
Ido Drent
Sid James
Siegfried Mynhardt
Stelio Savante
Cliff Simon
Danny Keogh
David Bailie
David Phetoe
Jack Klaff
Langley Kirkwood
Winston Ntshona
Greg Melvill-Smith
Hamilton Dhlamini
Jamie Bartlett
Jonathan Pienaar
Patrick Shai
Peter Krummeck
Randall de Jager
Norman Robinson
Vusi Kunene
Vusi Thanda
Wensley Pithey
