Alec Su
Alexander Lou
Andrew Lin
Fu Lei
Jonathan Chang
Lee Hsing-wen
Lee Kang-sheng
Lee Lee-zen
Lee Tien-chu
Li Hsing
Ba Ge
George Wang
Tai Chih-yuan
Takeshi Kaneshiro
Richie Jen
Victor Huang
Vincent Chiao
Yu An-shun
Chan Shen
Chang Chen
Chang Feng
Chang Fu-chien
Charlie Chin
Doze Niu
Neil Peng
Ni Min-jan
Nicky Wu
Sam Tseng
Tien Feng
Fei Xiang
Fernando Chien
Michael Huang
Wu Bai
Wu Hsing-kuo
Wu Pong-fong
Wu Zhaonan
Frankie Kao
Ko Chun-hsiung
Lawrence Ko
Lin Tzay-peir
Ling Yun
Lung Shao-hua
Sihung Lung
Steve Ma
Chiang Sheng
Chien Te-men
Ching Miao
Chu Ke-liang
Danny Dun
Jack Kao
Jacky Wu
Mason Lee
Hou Hsiao-hsien
Hsu Nai-lin
Liu Wen-cheng
Peter Ho
Pan An-bang
Yang Ching-huang
Tsai Chen-nan
Umin Boya
Wen Hsia
