Arnold Schwarzenegger
August Zirner
Friedrich von Thun
Helmut Berger
Helmuth Lohner
Leon Askin
Otto Schenk
Otto Tausig
Rudolf Wessely
Gabriel Barylli
Kurt Weinzierl
Maximilian Schell
Elyas M'Barek
Lukas Resetarits
Simon Schwarz
Christoph Waltz
Dietmar Schönherr
Ernst Stankovski
Erwin Leder
Erwin Steinhauer
Jacques Breuer
Tobias Moretti
Wolfgang Cerny
Wolfram Berger
Gregor Bloéb
Hanno Pöschl
Josef Hader
Karl Merkatz
Klaus Maria Brandauer
Hans Georg Nenning
Heinrich Schweiger
Herbert Feuerstein
Herbert Fux
Peter Benedict
Peter Kern
Peter Simonischek
Peter Weck
Philipp Hochmair
Marek Oravec
Robert Stadlober
