Alex Høgh Andersen
Allan Hyde
Anders Hove
Henrik Prip
Bjarne Henriksen
Carsten Bjørnlund
Caspar Phillipson
Casper Christensen
Casper Crump
Mads Mikkelsen
Olaf Johannessen
Søren Malling
Viggo Mortensen
William Rosenberg
Mikkel Følsgaard
Nicolaj Kopernikus
Niels Arestrup
Nikolaj Coster-Waldau
Nikolaj Lie Kaas
Dejan Čukić
Kim Bodnia
Kim Sønderholm
Kristian Halken
Elias Munk
Gilli
Pilou Asbæk
Simon Sears
Zlatko Burić
Claes Bang
David Sakurai
Dick Kaysø
Jakob Cedergren
Jesper Christensen
Ken Vedsegaard
Morten Suurballe
Rasmus Bjerg
Lars Mikkelsen
Roland Møller
Sven-Ole Thorsen
Peter Steen
Ulf Pilgaard
Ulrich Thomsen
