Adam B
Arthur Cox
John Lynch
Leigh Alderson
Ben Peel
Brian Milligan
Ian Beattie
Ian McElhinney
Lalor Roddy
Stuart Laing
Jude Hill
Niall Wright
Sam Neill
Denis Tuohy
Derek Thompson
Kristian Nairn
Warren Christie
Colin Morgan
Conleth Hill
Fra Fee
Gerald Home
Gerard Jordan
Gerard McCarthy
Gerard Murphy
Glen Wallace
Mark Aiken
Michael Smiley
Shane Brolly
Stephen Rea
Ciarán Hinds
Damian McGinty
Damian O'Hare
James Ellis
James Greene
Kenneth Branagh
Ray Stevenson
James Nesbitt
Harry Towb
J. J. Murphy
Patrick O'Kane
Liam Neeson
Richard Dormer
