Aaron Jeffery
Adam Gardiner
Alan Dale
Alistair Browning
Andrew Laing
Andrew Robertt
Andy Anderson
Antonio Te Maioha
Antony Starr
Ari Boyland
Joel Tobeck
John Bach
John Callen
John Karlsen
John Leigh
John Rawls
John Tui
Ben Barrington
Benedict Wall
Beulah Koale
Blair Strang
Bret McKenzie
Brian Sergent
Bruce Hopkins
Calvin Tuteao
Cameron Rhodes
George Henare
George Mason
Ian Gilmour
Patrick J. Carroll
Taika Waititi
Temuera Morrison
Terence Bayler
Shimpal Lelisi
Vivian Dawson
Yoson An
Jed Brophy
Jeffrey Thomas
Jemaine Clement
Josh Thomson
Julian Arahanga
Julian Shaw
Matariki Whatarau
Mike Ginn
Miles Gregory
Nic Sampson
Nico Evers-Swindell
Oscar Kightley
Roy Billing
Sam Neill
Scott Wills
Tim Balme
Kieren Hutchison
Michael Dorman
Michael Galvin
Nathaniel Lees
Craig Parker
Eli Kent
Francis Kora
Francis Mossman
KJ Apa
Karl Burnett
Lee Donoghue
Mark Hadlow
Martin Henderson
Stephen Hunter
Stephen Lovatt
Stephen Papps
Tom Hern
Chic Littlewood
Chris Rankin
Christopher Brown
Cliff Curtis
Clive Revill
Daniel Gillies
Daniel Logan
Danny Mulheron
David Aston
David McPhail
David de Lautour
Dean O'Gorman
Dwayne Cameron
Jacob Rajan
Jacob Tomuri
Jason Hoyte
Jay Ryan
Joe Naufahu
Kelvin Taylor
Pua Magasiva
Rawiri Paratene
Ray Henwood
Sala Baker
Maaka Pohatu
Marton Csokas
Martyn Sanderson
Timothy Bartlett
William Kircher
Hori Ahipene
James Tito
Karl Urban
Kirk Torrance
Russell Crowe
Ryan O'Kane
Thomas Rimmer
Paul Gittins
Paul McIver
Peter Daube
Peter Elliott
Peter Gwynne
Peter Hambleton
Peter McCauley
Peter McKenzie
Peter Vere-Jones
Pana Hema Taylor
Paolo Rotondo
Renato Bartolomei
Robbie Magasiva
