Alan Bates
Alec Guinness
Anthony Hopkins
Anthony Quayle
Antony Sher
Henry Irving
Henry Lytton
John Clements
John Gielgud
John Hare
John Hurt
John Martin-Harvey
John Mills
Johnston Forbes-Robertson
Lenny Henry
Ben Greet
Ben Kingsley
Bernard Miles
Billy Connolly
Bob Hope
Brian Rix
Bruce Forsyth
C. Aubrey Smith
George Alexander
George Robey
Ian Holm
Ian McKellen
Stanley Baker
Tony Robinson
Cedric Hardwicke
Charlie Chaplin
Donald Sinden
Donald Wolfit
Douglas Fairbanks Jr.
Guy Standing
Nigel Hawthorne
Nigel Playfair
Sam Neill
Sean Connery
Derek Jacobi
Derwent Hall Caine
Felix Aylmer
Godfrey Tearle
Kevin Spacey
Lewis Casson
Michael Caine
Michael Gambon
Michael Hordern
Michael Palin
Gerald du Maurier
Laurence Olivier
Mark Rylance
Michael Redgrave
Seymour Hicks
Sidney Poitier
Simon Russell Beale
Spike Milligan
Tom Courtenay
Christopher Lee
Daniel Day-Lewis
David Jason
David Suchet
Dirk Bogarde
Ken Dodd
Kenneth Branagh
Jonathan Pryce
Roger Moore
Harry Secombe
Herbert Beerbohm Tree
Patrick Stewart
Peter Ustinov
Ralph Richardson
Noël Coward
Robert Helpmann
Robert Stephens
Norman Wisdom
Rex Harrison
Richard Attenborough
