Alba Rohrwacher
Amelia Chellini
Andrea Checchi
Arnold Kent
Arnoldo Foà
Augusto Marcacci
Carlo Benetti
Carlo Cecchi
George Humbert
Lorella De Luca
Olinto Cristina
Rina De Liguoro
Ugo Ceseri
Vittoria Puccini
Cesare Bettarini
Vanna Vanni
Vasco Creti
Elena Sofia Ricci
Francesca Bertini
Francesca Braggiotti
Germana Paolieri
Giambattista Andreini
Gianfranco Giachetti
Gigi Ballista
Gilda Marchiò
Gino Corrado
Ilaria Occhini
Luisa Garella
Maria Grazia Francia
Marina Malfatti
Piero Lulli
Pietro Tordi
Pio Campa
Simona Caparrini
Chiara Francini
Claudia Zanella
Daisy Lumini
Daria Nicolodi
David Riondino
Edda Soligo
Evelina Paoli
Evi Maltagliati
Folco Lulli
Martina Stella
Massimo Ceccherini
Rodolfo Gucci
Liliana Tellini
Orso Maria Guerrini
Paolo Hendel
Paolo Poli
Renato Turi
Renzo Ricci
Norina Matchabelli
Rossano Brazzi
