Akim Tamiroff
Albert Safaryan
Alexander Ivashkevich
Anna Biani
Anzor Urdia
Avet Avetisyan
Leila Abashidze
Barbara Aleksi-Meskhishvili
Boris Brunov
George Finn
Merab Ninidze
Olga Gulazyan
Zaza Kolelishvili
Dodo Abashidze
Dodo Chichinadze
Mikhail Darski
Mikheil Kobakhidze
Nino Aleksi-Meskhishvili
Otar Koberidze
Otar Megvinetukhutsesi
Keti Khitiri
Levan Abashidze
Levan Gabriadze
Vaniko Tarkhnishvili
Vano Yantbelidze
Elena Satine
Elguja Burduli
Georgiy Daneliya
Giorgi Maskharashvili
Giorgi Nakashidze
Govhar Gaziyeva
Spartak Bagashvili
Yelena Kuzmina
Zurab Kipshidze
Edgar Elbakyan
Erosi Manjgaladze
Kakhi Kavsadze
Mamuka Kikaleishvili
Tinatin Dalakishvili
Guram Sagaradze
Nana Jorjadze
Rusudan Bolkvadze
Sofia Nizharadze
Sofiko Chiaureli
Pavel Arsenov
Ramaz Chkhikvadze
Lika Kavzharadze
Nodar Mgaloblishvili
Romeo Muradyan
