"Weird Al" Yankovic
A. J. Locascio
A. J. Riebli
Aaron Campbell
Aaron Carter
Aaron Dismuke
Aaron Fechter
Aaron Krohn
Aaron Lohr
Aaron Michael Metchik
Aaron Paul
Aaron Staton
Aaron Yoo
Abraham Benrubi
Adam Baldwin
Adam Brody
Adam Carolla
Adam Conover
Adam DeVine
Adam Deibert
Adam Driver
Adam Gibbs
Adam Goldberg
Adam Harrington
Adam Hendershott
Adam Hicks
Adam J. Harrington
Adam LeFevre
Adam Levine
Adam McArthur
Adam Reed
Adam Rodriguez
Adam Sandler
Adam West
Adam Wylie
Adam de la Peña
Adrian Martinez
Adrian Pasdar
Adrian Zaw
Adrien Beard
Adrien Brody
Ahmed Best
Ajay Naidu
Akie Kotabe
Al Matthews
Al Michaels
Al Rodrigo
Al Roker
Alan Dary
Alan Goodman
Alan King
Alan Oppenheimer
Alan Rachins
Alan Reed
Alan Ritchson
Alan Rosenberg
Alan Sader
Alan Tudyk
Alan Young
Albert Brooks
Alec Baldwin
Alejandro Edda
Alejandro Saab
Alex D. Linz
Alex Doduk
Alex Désert
Alex Fernandez
Alex Hirsch
Alex Kruz
Alex Rocco
Alex Trebek
Alex Winter
Alexander Brandon
Alexander Gould
Alexander O. Smith
Alexander Polinsky
Alexander Scourby
Alfonso Ribeiro
Alfred Lunt
Allan Lane
Allan Lurie
Allan Melvin
Allan Sherman
Allen Jenkins
Allen Swift
Alonzo Bodden
Alton Brown
Alvin Sanders
Amick Byram
Amir Talai
Anders Holm
Anderson .Paak
Andre Braugher
Andre Stojka
Andreas Katsulas
Andrew Bowen
Andrew Chandler
Andrew Koenig
Andrew Lawrence
Andrew Morgado
Andrew Parks
Andrew Rannells
Andrew Stanton
André 3000
André Sogliuzzo
Andy Berman
Andy Chanley
Andy Daly
Andy Dick
Andy Griffith
Andy Houts
Andy Kindler
Andy McAvin
Andy Merrill
Andy Milder
Andy Milonakis
Andy Mullins
Andy Pessoa
Andy Philpot
Andy Richter
Andy Samberg
Andy Sipes
Angel Oquendo
Angus MacLane
Angus Scrimm
Anthony Anderson
Anthony Asbury
Anthony Bowling
Anthony Edwards
Anthony Geary
Anthony Gonzalez
Anthony Mackie
Anthony Ramos
Anthony Ruivivar
Anthony Skordi
Anton Yelchin
Antonio Raul Corbo
Arch Presby
Archie Kao
Ardwight Chamberlain
Aries Spears
Arif Zahir
Arin Hanson
Armand Assante
Armie Hammer
Armin Shimerman
Arnie Pantoja
Arnold Schwarzenegger
Arnold Stang
Aron Kincaid
Aron Tager
Arrin Skelley
Arsenio Hall
Art Gilmore
Art Metrano
Arte Johnson
Arthur Anderson
Arthur Burghardt
Arthur Gary
Arthur Q. Bryan
Asher Blinkoff
Ashley Parker Angel
Ashton Kutcher
Ashton Smith
Atticus Shaffer
Austin Madison
Austin Pendleton
Austin Tindle
Austin Williams
Avery Brooks
François Chau
Fraser Kershaw
Fred Armisen
Fred Astaire
Fred Facey
Fred Melamed
Fred Newman
Fred Rogers
Fred Savage
Fred Stoller
Fred Tatasciore
Fred Thompson
Fred Travalena
Fred Willard
Fredd Wayne
Freddie Prinze Jr.
Freddy Rodriguez
Frederick Coffin
Freeman Gosden
French Tickner
Hemky Madera
Henry Corden
Henry Dittman
