Adolf Klein
Albert Conti
Albert von Kersten
Aleksandër Moisiu
Alfons Fryland
Alfred Neugebauer
André Mattoni
Anton Edthofer
Anton Pointner
Anton Walbrook
Arnold Korff
Arthur Bergen
Fred Berger
Fred Louis Lerch
Fred Solm
Friedrich Feher
Fritz Greiner
Fritz Richard
Fritz Spira
Henrik Galeen
John Gottowt
John Mylong
Leo Connard
Carl Esmond
Carl Goetz
Louis Ralph
Louis V. Arco
Magnus Stifter
Olaf Fjord
Victor Arnold
Julius Brandt
Oscar Homolka
Oscar Sabo
Oskar Karlweis
Oskar Marion
Oskar Sima
Otto Treßler
Rudolf Forster
Rudolph Schildkraut
Felix Basch
Leopold Kramer
Max Landa
Max Pallenberg
Max Pohl
Walter Slezak
Emil Lind
Emmerich Hanus
Franz Höbling
Karl Forest
Karl Günther
Luis Trenker
Michael von Newlinsky
Eddie Polo
Eduard von Winterstein
Egon von Jordan
Ekkehard Arendt
Ernst Arndt
Ernst Pröckl
Eugen Jensen
Eugen Neufeld
Hugo Flink
Jaro Fürth
Raoul Aslan
Ludwig Stössel
Ludwig von Salm-Hoogstraeten
Willi Forst
Wolf Albach-Retty
Wolfgang Heinz
Wolfgang von Schwind
Gustav Diessl
Joseph Schildkraut
Klaus Pohl
Rolf Randolf
Teddy Bill
Hans Jaray
Hans Joby
Hans Karl Breslauer
Hans Moser
Hans Schneeberger
Hans Thimig
Hans Unterkircher
Harry Hardt
Harry Nestor
Heinrich Gotho
Heinrich Peer
Heinz Hanus
Hermann Blaß
Hermann Thimig
Hermann Wlach
Paul Hörbiger
Paul Morgan
Paul Richter
Reinhold Häussermann
Ulrich Bettac
