Al Pacino
Anthony Hopkins
John Cleese
John Hurt
Leonardo DiCaprio
Ben Kingsley
Bill Murray
Bob Hoskins
Burt Lancaster
Casey Affleck
Gene Hackman
Geoffrey Rush
Jean Dujardin
Nigel Hawthorne
Sean Connery
Gary Oldman
Kevin Spacey
Michael Caine
Walter Matthau
Colin Firth
Forest Whitaker
Mickey Rourke
Spencer Tracy
Chiwetel Ejiofor
Daniel Day-Lewis
Dustin Hoffman
Eddie Redmayne
Hugh Grant
Jack Lemmon
Jack Nicholson
Joaquin Phoenix
William Hurt
Haing S. Ngor
Jamie Bell
Jamie Foxx
Russell Crowe
Peter Finch
Philip Seymour Hoffman
Philippe Noiret
Rami Malek
Robert Carlyle
Robert Downey Jr.
Robert Redford
Roberto Benigni
Richard Dreyfuss
