Allan Edwall
Anders Åberg
Anton Glanzelius
Johan H:son Kjellgren
Johannes Brost
Jonas Karlsson
Björn Kjellman
Börje Ahlstedt
Carl-Gustaf Lindstedt
Håkan Serner
Loa Falkman
Göran Stangertz
Gösta Ekman
Ingvar Hirdwall
Mikael Persbrandt
Fares Fares
Keve Hjelm
Krister Henriksson
Levan Gelbakhiani
Max von Sydow
Michael Nyqvist
Erland Josephson
Michael Segerström
Stellan Skarsgård
Tomas Bolme
Eddie Axberg
Jarl Kulle
Joel Kinnaman
Lasse Åberg
Toivo Pawlo
Gustaf Skarsgård
Halvar Björk
Kjell Bergqvist
Roland Hedlund
Rolf Lassgård
Sven-Bertil Taube
Sven Lindberg
Sven Wollter
Sverrir Gudnason
Thommy Berggren
Per Oscarsson
Peter Lindgren
Robert Gustafsson
