Al Pacino
Alan Rickman
Albert Finney
Anthony Andrews
Beau Bridges
Bill Nighy
Billy Bob Thornton
Brian Dennehy
Geoffrey Rush
Stanley Tucci
Ving Rhames
Oscar Isaac
Gary Sinise
Kevin Bacon
Kevin Costner
Michael Caine
Michael Douglas
Michael Keaton
Stacy Keach
Idris Elba
Mickey Rooney
Tom Hiddleston
Darren Criss
Dustin Hoffman
Ewan McGregor
Jack Lemmon
James Franco
James Garner
Jim Broadbent
Raul Julia
James Woods
Jonathan Rhys Meyers
Russell Crowe
Ted Danson
Paul Giamatti
Randy Quaid
Robert Duvall
Richard Chamberlain
