Aaron Carter
Alan Bates
Alan Bennett
Alan Cumming
Alan Freeman
Aleksei Panin
Alfonso Dosal
Andy Dick
Andy Mientus
Anthony Forwood
Anthony Rapp
François Arnaud
Frédéric Mitterrand
Helmut Berger
Henry Ainley
Henry Brandon
Jonah Falcon
Jonah Scott
Lee Ryan
Leonard Sachs
Billie Joe Armstrong
Billy Barnes
Blas Cantó
Brad Davis
Carleton Carpenter
Lambert Wilson
Magnus Betnér
Patrick Breen
Taliesin Jaffe
Merritt Butrick
Tony Richardson
Tony Ward
Vincent Price
Vladek Sheybal
Yukio Mishima
Yuri Bogatyryov
Charles Laughton
Drew Tarver
Günther Kaufmann
Jean Chevrier
Jean Marais
Jeremy Brett
Joshua Rush
José de Abreu
Julian Beck
Matheus Nachtergaele
Mike Manning
Mike White
Ninetto Davoli
Regan Gascoigne
Scott Marlowe
Travon Free
Denholm Elliott
Dennis Price
Farley Granger
Fábio Audi
Gabriel Garko
Gabriel Romero
Kevin Sharkey
Leslie Cheung
Michael Barrymore
Wil Traval
Conrad Veidt
Emil Dimitrov
Eric Emerson
Glen Byam Shaw
Gore Vidal
Laurence Harvey
Mark Bautista
Mark Herron
Marlon Brando
Michael Redgrave
Pierre Palmade
Shane Dawson
Tomas Milian
Christian Marquand
Cyril Collard
Cyril Nri
Dack Rambo
Daniel Grao
Daniel Newman
Danny Lockin
Ernest Thesiger
Jack Cassidy
Jack Dylan Grazer
Jason Mraz
Jean-Claude Brialy
Jesuíta Barbosa
Joe Dallesandro
Joe Serafini
Kellen Goff
Kenneth MacKenna
Raúl Esparza
Sal Mineo
Tyler Blackburn
Larry Saperstein
MC Chris
Manu Intiraymi
Will Geer
Gustaf Gründgens
Horst Buchholz
James Rado
Rodolfo Bottino
Paul America
Paul Fitzgerald
Peter Max Lawrence
Rainer Werner Fassbinder
Ramses Shaffy
Ran Danker
Marc Lavoine
Ondine
Paco León
Rip Taylor
Robert Rusler
Robert Webb
Ricardo Fort
Ronen Rubinstein
Sanford Meisner
Thane Bettany
