A. W. Baskcomb
Aaron Jeffcoate
Abhin Galeya
Abraham Sofaer
Abubakar Salim
Ace Bhatti
Adam Alexi-Malle
Adam Croasdell
Adam James
Adam Nagaitis
Ade
Aden Gillett
Adewale Akinnuoye-Agbaje
Adrian Schiller
Aidan Devine
Akemnji Ndifornyen
Al Burnett
Alan Gifford
Alan Haines
Alan McKenna
Alan Parnaby
Alan Rickman
Alan Ruscoe
Albert Welling
Alec Utgoff
Alex Ferns
Alex Hassell
Alex Scott
Alex Sharp
Alexander Davion
Alexander Field
Alexander Molony
Alister Williamson
Alyy Khan
Amit Shah
Anand Desai-Barochia
Andrew Cooper
Andrew Faulds
Andrew Lincoln
Andrew Robertson
Andrew Sachs
André Mikhelson
Angus Wright
Anthony Faramus
Anthony Forwood
Anthony Hulme
Anthony Ireland
Anthony Milner
Anton Walbrook
Antonio Aakeel
Archie Pitt
Arron Blake
Arthur Christiansen
Arthur Goullet
Arthur Hardy
Arthur Lennard
Arty Ash
Athole Stewart
Austin Leigh
Fred Paul
Freddie Fletcher
Frederick Lloyd
Frederick Schiller
Frederick Worlock
Fredric Abbott
Henry Cavill
Henry Golding
Henry Mollison
Henry Stuart
Henry Wenman
John Atterbury
John Barrett
John Barrowman
John Benfield
John Blundell
John Bluthal
John Bryans
John Carlin
John Chandos
John Fricker
John Garrick
John Hallam
John Houseman
John Lebar
John MacAndrews
John Moreno
John Rogers
John Rowe
John Ruddock
John Savident
John Sessions
John Sutton
John Warburton
John Wyman
Johnnie Schofield
Joivan Wade
Jolyon Rubinstein
Jonathan Aris
Lee Evans
Leigh Gill
Len Jones
Lennie James
Leo Britt
Leon Herbert
Leonard Sachs
Badi Uzzaman
Barnett Parker
Barry Jones
Barry Livesey
Barry Stanton
Barry Stokes
Ben Ashenden
Ben Cura
Ben Hawkey
Ben McKay
Ben Nealon
Ben Onwukwe
Ben Wright
Benedict Wong
Bernard Behrens
Bernard Rebel
Bert Coote
Bert Tracy
Bill Hunter
Bill Hutchens
Bill Nagy
Billy Howle
Bo Poraj
Bob Franklin
Bob Goody
Bob Hoskins
Bobby Lockwood
Booth Conway
Brandon Francis
Brember Wills
Brendan Patricks
Brett Goldstein
Brian Coburn
Brian Hibbard
Brian Pettifer
Bruce Myers
Bruce Seton
Bryan Coleman
Burn Gorman
Cameron Ashplant
Campbell Cotts
Carl Duering
Carl Wharton
Gavin McInnes
Gawn Grainger
Geff Francis
Gem Souleyman
Geoffrey Kirkness
Geoffrey Sumner
George Benson
George Cowl
George Harris
George Hayes
George Mallaby
George Mozart
George Murcell
George Pastell
George Sargeant
Grahame Wood
Hywel Williams-Ellis
Ian Brooker
Ian Colin
Ian Kelly
Ian Maclaren
Ian Yule
Lane Meddick
Lloyd Woolf
Lockwood West
Louis Hayward
Louis Mahoney
Mackenzie Gray
Parvez Qadir
Pat Somerset
Patric Curwen
Patrick Connor
