40
A.J. Saudin
A. J. Buckley
Aaron Abrams
Aaron Ashmore
Aaron Douglas
Aaron Poole
Aaron Schwartz
Aaron Smolinski
Adam Beach
Adam Butcher
Adam J. Harrington
Adam Korson
Adam MacDonald
Adam Reid
Adam Tsekhman
Adamo Ruggiero
Adrian Holmes
Adrian Scott
Ahn Hyo-seop
Aidan Devine
Aidan Shipley
Al Mukadam
Al Waxman
Alan Crofoot
Alan Di Fiore
Alan Gordon
Alan Marriott
Alan Park
Alan Scarfe
Alan Thicke
Alan Watt
Alan van Sprang
Albert M. Chan
Albert Millaire
Albert Schultz
Aleks Paunovic
Alessandro Juliani
Alex Cardillo
Alex Carter
Alex Diakun
Alex Ferris
Alex House
Alex Karzis
Alex Lifeson
Alex Mallari Jr.
Alex Nussbaum
Alex Ozerov
Alex Zahara
Alexander Calvert
Alexander Chapman
Alexander Conti
Alexander Ludwig
Alexander Pollock
Alexandre Landry
Alf Humphreys
Alfie Scopp
Ali Badshah
Ali Kazmi
Aliocha Schneider
Alistair Abell
Allan Hawco
Allan Royal
Amir Bageria
Andrew Airlie
Andrew Chalmers
Andrew Francis
Andrew Jackson
Andrew Jenkins
Andrew McNee
Andrew Miller
Andrew Phung
Andrew Pifko
Andrew Sabiston
Andrew Tite
Andrew Walker
Andrew Younghusband
André Dae Kim
André Ducharme
André Melançon
Andy Jones
Andy McQueen
Andy Thompson
Angelo Tsarouchas
Angus MacInnes
Angus Sutherland
Anthony J. Mifsud
Anthony Kramreither
Anthony Lemke
Anthony Sherwood
Antoine Bertrand
Antoine L'Écuyer
Antoine Olivier Pilon
Antoine Vézina
Antoni Porowski
Araya Mengesha
Ardon Bess
Ari Cohen
Ari Millen
Arnold Pinnock
Art Hindle
Arthur Grosser
Arthur Hill
Arthur Holden
Arthur Smith
Asaph Fipke
Atticus Mitchell
Aubert Pallascio
August Schellenberg
Austin MacDonald
Austin Willis
Avan Jogia
Avery Saltzman
François Arnaud
François Létourneau
Fred Ewanuick
French Tickner
Fulvio Cecere
Henry Beckman
Henry Corden
Henry Czerny
Irdens Exantus
Isaac Durnford
Isaac Kragten
Ishan Morris
Joel Thomas Hynes
Joey Scarpellino
John Boylan
John Bregar
John Candy
John Cassini
John Catucci
John Colicos
John DeSantis
John Dunsworth
John Ioannou
John Ireland
John Juliani
John Kapelos
John Mann
John McLiam
John Novak
John Paul Ruttan
John Paul Tremblay
John Payne
John Pyper-Ferguson
John Qualen
John Ralston
John Reardon
John Vernon
John White
John Wildman
Johnny Orlando
Johnny Washbrook
Johnny Wayne
Jon Cor
Jon Dore
Jon McLaren
Jonas Chernick
Jonathan Cherry
Lee Jae-yoon
Lee Majdoub
Lee Patterson
Len Birman
Len Cariou
Leon Dubinsky
Leon Pownall
Barclay Hope
Barrie Dunn
Barry Cahill
Barry Morse
Barry Pepper
Beau Mirchoff
Ben Bass
Ben Cotton
Ben Hollingsworth
Ben Lewis
Benedict Campbell
Benjamin Ayres
Benjamin Ratner
Benny Yau
Benoît Gouin
Benoît McGinnis
Benz Antoine
Berend McKenzie
Bernard Behrens
Bernard Braden
Bernard Cowan
Bernard Robichaud
Bernie Coulson
Bernie Orenstein
Bill Carr
Bill Dow
Bill Lake
Bill Luxton
Bill Nagy
Bill Switzer
Bill Walker
Billy Merasty
Billy Van
Blake Mawson
Bob Bainborough
Bob Cole
Bob Dawson
Bob Dolman
Bob Frazer
Bob Homme
Bob Martin
Bob Paris
Bob Random
Bonar Bain
Booth Savage
Boyd Banks
Brad Goddard
Brad Sihvon
Bradley Lavelle
Brandon Firla
Brandon Jay McLaren
Brandon Ludwig
Brendan Beiser
Brendan Fehr
Brendan Fletcher
Brendan Fraser
Brendan Gall
Brendan Meyer
Brendan Penny
Brennan Clost
Brennan Elliott
Brent Butt
Brent Carver
Brent Miller
Bret Hart
Brett Dier
Brett Kelly
Brian Downey
Brian Huggins
Brian Markinson
Bronson Pelletier
Bruce Boa
Bruce Dinsmore
Bruce Gray
Bruce Greenwood
Bruce Harwood
Bruce McCulloch
Bruce Ramsay
Bruno Gerussi
Bruno Landry
Burkely Duffield
Byrd Dickens
Byron Chief-Moon
Byron Lawson
C. David Johnson
C. Ernst Harth
Cainan Wiebe
Callum Keith Rennie
Calum Worthy
Cam Neely
Cameron Ansell
Cameron Bancroft
Cameron Bright
Cameron Brodeur
Cameron Mathison
Carl Banas
Carl Marotte
Carlo Rota
Carlos Patricio Díaz
Carson MacCormac
Carter Hayden
Cas Anvar
Gavin Crawford
Gavin Fox
Geoffrey Bowes
George A. Romero
George Buza
George Chiang
George Cleveland
George Clutesi
George Hall
George Leach
George R. Robertson
Graham Abbey
Graham Greene
Graham Verchere
Graham Wardle
Grahame Wood
Ian Blackwood
Ian Tracey
Lamar Johnson
Lance Gibson
Lance Kinsey
Landon Liboiron
Lochlyn Munro
Lorne Cardinal
Lorne Greene
Lorne Michaels
Lothaire Bluteau
Lou Jacobi
Louis-José Houde
Louis-Philippe Dury
Louis Chirillo
Louis Del Grande
Louis Ferreira
Louis Morissette
Louis Negin
Louis Turenne
Mackenzie Gray
Murray Westgate
Pat Harrington Sr.
Pat John
Pat Mastroianni
Pat Thornton
Patrice Robitaille
Patrick Gallagher
Patrick Gilmore
Patrick Hivon
Patrick Huard
Patrick J. Adams
