A. J. Buckley
Adam J. Harrington
Alan Young
Alex Karzis
Andrew Francis
Andrew Jackson
Andrew Kishino
Arthur Grosser
French Tickner
John Novak
John Stocker
Barry Pepper
Benedict Campbell
Brad Swaile
Brent Miller
Brian Dobson
Brian Drummond
Cal Dodd
Cas Anvar
George Buza
Graham Jarvis
Ian Hanlin
Patrick Gallagher
Terrence Scammell
Richard Waugh
Richard Yearwood
Rick May
Rino Romano
Steven Ogg
Tony Rosato
Vince Corazza
Vincent Tong
Zack Ward
Don Francks
Jeff Teravainen
Jeffrey Watson
Matt Hill
Maurice LaMarche
Nigel Whitmey
Sam Vincent
Scott McCord
Scott McNeil
Scott Roberts
Shawn Ashmore
Trevor Devall
Trevor White
Denis Akiyama
Gabriel Hogan
Kerry Shale
Kiefer Sutherland
Kyle Card
Michael Benyaer
Michael Daingerfield
Michael Dobson
Michael Ironside
Michael J. Fox
Michael Mando
Nathan Fillion
Ward Perry
Cole Howard
Colin O'Meara
Corey Haim
Elliot Page
Eric Bauza
Gianpaolo Venuta
Mark Gatha
Mark Gibbon
Mark Hildreth
Mark Holden
Mark Meer
Martin Short
Martin Watier
Michael Wincott
Steve Mackall
Tony Daniels
Chris Diamantopoulos
Christopher Britton
Dale Wilson
Dameon Clarke
Dan Hennessey
Dan Jeannotte
Darren Dunstan
Dave Pettitt
David Kaye
Dwayne Hill
Eddie Carroll
Hugh Dillon
Jaimz Woolvett
James Carroll
Ty Olsson
Lucas Gilbertson
Toby Proctor
Will Arnett
William Hope
Joseph May
Kirby Morrow
Roger Rhodes
Paul Dobson
Paul Haddad
Paul Sun-Hyung Lee
Peter Cullen
Peter Flemming
Peter Kelamis
Peter Oldring
Robert Joy
Robert Smith
Robert Tinkler
Noah Cappe
Noam Jenkins
Norm Spencer
Richard Darbois
