Alen Liverić
Amar Bukvić
Andrej Dojkic
Ante Vican
Ante Čedo Martinić
Antun Vrdoljak
Leon Lučev
Boris Dvornik
Boris Miholjević
Božidar Alić
Božidar Orešković
Božidar Smiljanić
Mirko Boman
Mladen Budiščak
Mladen Vulić
Tarik Filipović
Stipe Erceg
Stjepan Perić
Stojan Matavulj
Vili Matula
Vinko Kraljević
Vjekoslav Katusin
Vladimir Medar
Zdenko Jelčić
Dragan Despot
Dragan Milivojević
Dražen Kühn
Josip Zovko
Milan Pleština
Milan Štrljić
Dejan Aćimović
Krešimir Mikić
Vanja Drach
Frane Perišin
Franjo Dijak
Franjo Majetić
Frano Lasić
Goran Bogdan
Goran Dukić
Goran Navojec
Goran Višnjić
Ilija Ivezić
Luka Peroš
Luka Petrušić
Marinko Prga
Mario Petreković
Toni Jeričević
Tonko Lonza
Zlatko Crnković
Zlatko Madunić
Zvonimir Rogoz
Zvonimir Črnko
Zvonko Lepetić
Danko Ljuština
Filip Juričić
Filip Šovagović
Rade Šerbedžija
Ratko Glavina
Ozren Grabarić
Slaven Španović
Slobodan Dimitrijević
Hrvoje Kečkeš
Janko Popović Volarić
Karlo Bulić
Ljubomir Kerekeš
Sven Lasta
Sven Medvešek
Sven Šestak
Živko Anočić
Ivan Brkić
Ivan Herceg
Ivica Vidović
Ivo Gregurević
Izet Hajdarhodžić
Petar Cvirn
Rajko Grlić
Rakan Rushaidat
Rene Bitorajac
Rene Medvešek
Robert Kurbaša
Robert Ugrina
Predrag Vušović
Veljko Maričić
