Abdelhafid Metalsi
Adel Bencherif
Affif Ben Badra
Alain Chabat
Alain Delon
Alain Maratrat
Alain Marcel
Alex Descas
Alex Lutz
Alexander Davion
Alexandre Astier
Alexandre Brasseur
Alexandre Fabre
Alexandre Varga
Alexis Loret
Ambroise Michel
André Charpak
André Dussollier
André Maranne
André Marcon
André Oumansky
André Pousse
André Reybaz
André Versini
André Wilms
André the Giant
Anthony Bajon
Anthony Delon
Antoine Chappey
Antoine Duléry
Antoine Vitez
Antoine de Caunes
Arnaud Binard
Arnaud Ducret
Arnaud Henriet
Arnaud Joyet
Arnaud Tsamere
Arthur Jugnot
Ary Abittan
Aurélien Recoing
Aurélien Wiik
Axel Auriant
François-Éric Gendron
François Berléand
François Civil
François Dyrek
François Goetghebeur
François Guérin
François Maistre
François Patrice
François Rollin
Fred Testot
Fred Ulysse
Frédéric Bouraly
Frédéric Chau
Frédéric Diefenthal
Frédéric Forestier
Frédéric Gorny
Frédéric Pottecher
Frédéric de Pasquale
Frédéric Épaud
Henri Attal
Henri Nassiet
Henri Tisot
Henri Vilbert
Henri Virlogeux
Henry Djanik
Issa Doumbia
Joeystarr
Johan Libéreau
Johnny Hallyday
Jonathan Cohen
Bastien Bouillon
Benjamin Voisin
Benoît Allemane
Benoît Ferreux
Benoît Magimel
Benoît Régent
Bernard Alane
Bernard Ballet
Bernard Blancan
Bernard Blier
Bernard Bloch
Bernard Campan
Bernard Dhéran
Bernard Farcy
Bernard Fresson
Bernard Lavalette
Bernard Le Coq
Bernard Musson
Bernard Ménez
Bernard Verley
Bertrand Tavernier
Boris Roatta
Brice Fournier
Bruce Herbelin-Earle
Bruno Cremer
Bruno Lochet
Bruno Pradal
Bruno Putzulu
Bruno Salomone
Bruno Todeschini
Cansel Elçin
Geoffrey Couët
Lambert Wilson
Lorànt Deutsch
Louis-Do de Lencquesaing
Louis-Karim Nébati
Louis-Marie de Castelbajac
Louis Garrel
Louis Jourdan
Louis de Funès
Loup-Denis Elion
Muratt Atik
Pascal Aubier
Pascal Elbé
Pascal Elso
Pascal Greggory
Pascal Légitimus
Pascal Mazzotti
Pascal N'Zonzi
Patrice Chéreau
Patrick Braoudé
Patrick Bruel
Patrick Chesnais
Patrick Guillemin
Stanislas Merhar
Stanley Weber
Stany Coppet
Stéphan Guérin-Tillié
Stéphane Bak
Stéphane Cornicard
Stéphane Debac
Stéphane Freiss
Stéphane Hillel
Stéphane Rideau
Tarek Boudali
Melvil Poupaud
Olivier Baroux
Olivier Broche
Olivier Marchal
Olivier Rabourdin
Olivier Sitruk
Richard Leduc
Régis Laspalès
Saïd Taghmaoui
Soufiane Guerrab
Steve Tran
Stomy Bugsy
Sébastien Roch
Tahar Rahim
Thibault Vinçon
Thibault de Montalembert
Thierry Fortineau
Thierry Frémont
Thierry Liagre
Thierry Neuvic
Victor Artus Solaro
Vincent Desagnat
Vincent Elbaz
Vincent Lindon
Vincent Perez
Vincent Rottiers
William Lebghil
William Nadylam
Willy Braque
Willy Rovelli
Yvan Le Bolloc'h
Yves Beneyton
Yves Deniaud
Yves Robert
Yves Vincent
Charles Berling
Charles Bouillaud
Charles Boyer
Charles Gérard
Dominic Gould
Dominik Bernard
Dominique Besnehard
Dominique Farrugia
Dominique Nohain
Guy Marchand
Guy Montagné
Guy Tréjan
Gérard Barray
Gérard Darrieu
Gérard Hernandez
Gérard Hérold
Gérard Lanvin
Gérard Séty
Gérard Vivès
Jean-Claude Dreyfus
Jean-Claude Michel
Jean-François Adam
Jean-François Poron
Jean-Hugues Anglade
Jean-Jacques Grand-Jouan
Jean-Louis Richard
Jean-Loup Philippe
Jean-Marc Barr
Jean-Marc Tennberg
Jean-Marie Winling
Jean-Michel Dupuis
Jean-Michel Vaubien
Jean-Pascal Lacoste
Jean-Paul Roussillon
Jean-Paul Rouve
Jean-Philippe Ricci
Jean-Pierre Bacri
Jean-Pierre Cassel
Jean-Pierre Castaldi
Jean-Pierre Darras
Jean-Pierre Kalfon
Jean-Pierre Lorit
Jean-Pierre Marielle
Jean-Pierre Miquel
Jean-Pierre Mocky
Jean-Toussaint Bernard
Jean-Yves Berteloot
Jean Becker
Jean Benguigui
Jean Carmet
Jean Clarieux
Jean Claudio
Jean Daurand
Jean Dell
Jean Desailly
Jean Dujardin
Jean Le Poulain
Jean Martin
Jean Martinelli
Jean Parédès
Jean Reno
Jean Richard
Jean Rochefort
Jean Sorel
Jean Tissier
Jean Topart
Jean Vigny
Jean Yanne
José Garcia
Julien Bertheau
Julien Boisselier
Julien Courbey
Julien Kang
Mathieu Amalric
Mathieu Kassovitz
Mathieu Madénian
Mathieu Spinosi
Matthieu Boujenah
Maurice Baquet
Maurice Barrier
Maurice Bénichou
Maurice Dorléac
Maurice Garrel
Nicolas Bedos
Nicolas Cazalé
Nicolas Duvauchelle
Nicolas Giraud
Nicolas Koretzky
Nicolas Marié
Nicolas Maury
Nicolas Rimsky
Nicolas Vaude
Nikolai Kinski
Reda Kateb
Rufus
Sam Spiegel
Sami Bouajila
Sami Frey
Samir Boitard
Samir Guesmi
Samuel Le Bihan
Samuel Theis
Samy Seghir
Sebastian Roché
Denis Braccini
Denis Lavant
Denis Ménochet
Fernandel
Félix Lefebvre
Félix Marten
Félix Moati
Féodor Atkine
Gabriel Cattand
Gabriel Jabbour
Gaspard Ulliel
Kev Adams
Kyan Khojandi
Max Boublil
Max Doria
Max von Sydow
Maxence Danet-Fauvel
Maxime Godart
Maxime Leroux
Mhamed Arezki
Michael Lonsdale
Emmanuel Leconte
Eric Cantona
Francis Blanche
Francis Huster
Francis Leplay
Francis Perrin
Francis Renaud
Franck Dubosc
Franck de Lapersonne
Frank Leboeuf
Georges Chamarat
Georges Corraface
Georges Descrières
Georges Douking
Georges Marchal
Georges Montillier
Georges Nguyen Van Loc
Georges Poujouly
Georges Wilson
Gianni Giardinelli
Gilbert Melki
Gilles Marini
Gilles Ségal
Jérémie Elkaïm
Jérémy Ferrari
Jérémy Kapone
Jérôme Charvet
Jérôme Pradon
Jérôme Robart
Karl E. Landler
Laurent Bateau
Laurent Gamelon
Laurent Lafitte
Laurent Malet
Laurent Ournac
Laurent Stocker
Laurent Terzieff
Lionel Abelanski
Léo Campion
Léo Legrand
Malik Zidi
Mario David
Martin LaSalle
Martin Lamotte
Martin Provost
Medi Sadoun
Mehdi El Glaoui
Mehdi Nebbou
Michael Vartan
Michaël Abiteboul
Michel Auclair
Michel Aumont
Michel Barbey
Michel Beaune
Michel Blanc
Michel Boujenah
Michel Constantin
Michel Creton
Michel Etcheverry
Michel Fau
Michel Galabru
