Aaron Altaras
Ace Mahbaz
Adnan Maral
Albert Hehn
Albert Lieven
Albert Lippert
Albrecht Becker
Albrecht Schuch
Alexander Allerson
Alexander Becht
Alexander Beyer
Alexander Haugg
Alexander Hegarth
Alexander Held
Alexander Radszun
Alf Marholm
Alfred Balthoff
Alfred Schieske
Alfred Struwe
Amadeus August
Andreas Hofer
Andreas Pietschmann
Andreas Schmidt
Andreas Stenschke
Andreas von der Meden
András Fricsay
André Hennicke
Anton Diffring
Anton Feichtner
Arman İnci
Armin Mueller-Stahl
Armin Rohde
Arnd Klawitter
Arne Elsholtz
Arno Assmann
Arnold Marlé
Arthur Brauss
Arved Birnbaum
Arón Piper
August Wittgenstein
Axel Milberg
Axel Prahl
Axel Siefer
Axel Stein
Franz Nicklisch
Franz Rogowski
Fred Bertelmann
Fred Delmare
Fred Düren
Fred Stillkrauth
Fred Williams
Frederick Lau
Frederick Valk
Friedrich Richter
Friedrich Schoenfelder
Friedrich Schütter
Friedrich W. Bauschulte
Fritz Diez
Fritz Hollenbeck
Fritz Rémond Jr.
Fritz Tillmann
Fritz Wepper
Helmut Brasch
Helmut Fischer
Helmut Peine
Helmut Schmid
Helmuth Schneider
Hendrik Martz
Hendrik von Bültzingslöwen
Henning Baum
Henry Hübchen
Henry Vahl
Henry van Lyck
Joerg Stadler
Johannes Brandrup
Johannes Buzalski
Leon Seidel
Leonard Carow
Leonard Lansink
Leonard Steckel
Aykut Kayacık
Baki Davrak
Balduin Baas
Barnaby Metschurat
Bastian Semm
Benjamin Sadler
Benjamin Trinks
Benno Fürmann
Benno Sterzenbach
Beppo Brem
Bernd Herzsprung
Bernd Michael Lade
Bernd Tauber
Bernhard Hoëcker
Bert Tischendorf
Birol Ünel
Bjarne Mädel
Bob Hiltermann
Boy Gobert
Bum Krüger
Burghart Klaußner
Carl-Heinz Schroth
Carl Jaffe
Carl Lange
Carl Wery
Carlo Ljubek
Gedeon Burkhard
Gennadi Vengerov
Georg Preuße
Georg Uecker
Lambert Hamel
Loriot
Louis Hofmann
Mircea Crișan
Mirco Reseg
Mirko Lang
Mišel Matičević
Patrick Bach
Tayfun Bademsoy
Mola Adebisi
Oktay Özdemir
Oliver Broumis
Oliver Korittke
Oliver Petszokat
Oliver Rohrbeck
Oliver Stokowski
Olli Dittrich
Peer Augustinski
Peer Schmidt
Richard Münch
Richard Sammel
Richy Müller
Rick Kavanian
Rüdiger Vogler
Sascha Hehn
Sönke Möhring
Theo Trebs
Theodore Wilhelm
Torben Liebrecht
Torsten Voges
Udo Kier
Udo Samel
Vincent Redetzki
Vinzenz Kiefer
Vladimir Burlakov
Willy Harlander
Willy Maertens
Willy Millowitsch
Willy Schäfer
Willy Semmelrogge
Charles M. Huber
Charles Régnier
Dominic Monaghan
Dominic Raacke
Dominik Tiefenthaler
Dominique Horwitz
Götz George
Götz Otto
Günter Lamprecht
Günter Meisner
Günter Naumann
Günter Pfitzmann
Günter Schubert
Günter Strack
Günther Jerschke
Günther Kaufmann
Günther Schramm
Günther Simon
Günther Stoll
Ingo Naujoks
Ingolf Gorges
Ingolf Lück
Jeff Wilbusch
Jens Hartwig
Jumbo Schreiner
Mathias Herrmann
Mathias Schlung
Mathieu Carrière
Mathis Landwehr
Mats Köhlert
Matt Zemlin
Matthias Brenner
Matthias Freihof
Matthias Fuchs
Matthias Habich
Matthias Hinze
Matthias Koeberlin
Matthias Schweighöfer
Mike Krüger
Nic Romm
Nick Hein
Niklas Kohrt
Ottfried Fischer
Otto Sander
Rudolf Martin
Rudolf Platte
Rudolf Schündler
Rufus Beck
Samuel Finzi
Sebastian Fischer
Sebastian Koch
Sebastian Rohrbach
Sebastian Schipper
Sebastian Ströbel
Sebastian Urzendowsky
Thure Riefenstein
Til Schweiger
Tilo Prückner
Tim Sander
Tim Seyfi
Traugott Buhre
Demir Gökgöl
Denis Moschitto
Dennis Grabosch
Detlef Bothe
Falk Hentschel
Ferdy Mayne
Félix Marten
Kristian Kiehling
Kurt Großkurth
