Adamantios Lemos
Alekos Livaditis
Alekos Zartaloudis
Alexis Georgoulis
Aris Maliagros
Aris Servetalis
Athinodoros Prousalis
Stathis Psaltis
Memos Mpegnis
Yorgos Karamihos
Zannino
Nicholas Pettas
Nikitas Platis
Nikos Rizos
Nikos Verlekis
Koulis Stoligkas
Michael Giannatos
Nassos Kedrakas
Vangelis Protopapas
Vasilis Diamantopoulos
Vasilis Triantafillidis
Gerasimos Skiadaresis
Giannis Bezos
Giannis Vogiatzis
Giorgos Kapoutzidis
Giorgos Provias
Giorgos Tzifos
Konstantinos Markoulakis
Kostas Palios
Kostas Papachristos
Michalis Nikolinakos
Stavros Xenidis
Yannis Stankoglou
Christos Loulis
Christos Negas
Dimitris Rontiris
Dimitris Voyatzis
Errikos Litsis
Mimis Theiopoulos
Petros Fyssoun
Thanasis Veggos
Thanos Samaras
