Aarif Rahman
Aaron Kwok
Adam Cheng
Alan Chui Chung-San
Alan Tam
Alan Tang
Alex Fong
Alex Fong
Alex Man
Alex To
Alexander Fu Sheng
Alfred Cheung
Anders Nelsson
Andy Hui
Andy Lau
Andy On
Anthony Chan
Anthony Wong
Austin Wai
Fung Fung
Fung Ging-man
Ho Ka-kui
Ho Yi
Joey Leung
John Lone
Johnny Ngan
Johnson Lee
Jon T. Benn
Lee Hoi-chuen
Lee Hoi-sang
Lee Kin-yan
Lee Shing-cheong
Lee Siu-kei
Leo Ku
Leon Lai
Ben Wong
Bennett Pang
Benny Chan
Bill Tung
Billy Lau
Bobby Au-yeung
Bolo Yeung
Bosco Wong
Bowie Lam
Bowie Wu
Brandon Lee
Bruce Lee
Bruce Leung
Bryan Leung
Byron Pang
Carl Ng
Carter Wong
George Cheung
George Lam
Ian Gouw
Lai Lok-yi
Lam Kwok-Hung
Lam Sheung Yee
Lam Suet
Lam Tsz-sin
Lo Hoi-pang
Lo Lieh
Lo Wei
Louis Cheung
Louis Fan
Louis Koo
Mo Tse
Stanley Cheung
Stanley Fung
Stanley Kwan
Sun Ma Sze Tsang
Sun Xing
Sunny Chan
Tam Ping-man
Tan Tao-liang
Tats Lau
Pong Nan
Richard Ng
Ricky Hui
Shing Fui-On
Steven Ma
Tony Leung Chiu-wai
Tony Leung Ka-fai
Tony Liu
Vincent Kok
Vincent Wong
William So
Wilson Yip
Yueh Hua
Yuen Biao
Yuen Cheung-yan
Yuen Shun-yi
Yuen Siu-tien
Yuen Wah
Yuen Woo-ping
Chan Hon-chung
Chan Hung-lit
Chan Shen
Chang Yi
Chapman To
Charles Heung
Charlie Cho
Don Li
Donnie Yen
Jeffrey Lau
Julian Cheung
Jun Kung
Juno Mak
Matt Chow
Neo Yau
Ng Man-tat
Ng Wui
Nicholas Tse
Nick Cheung
Oscar Leung
Osman Hung
Roy Cheung
Roy Chiao
Ruco Chan
Sam Lee
Sammo Hung
Sammul Chan
Sammy Leung
Sammy Sum
Sean Lau
Sean Li
Shawn Yue
Shek Sau
Shih Kien
Ti Lung
Dennis Law
Dennis To
Derek Tsang
Derek Yee
Deric Wan
Fan Ho
Felix Lok
Felix Wong
Gallen Lo
Kent Cheng
Kent Tong
Kevin Cheng
Ku Feng
Kwan Hoi-san
Kwan Shan
Kwan Tak-hing
Kwong Wa
Leslie Cheung
Michael Chan
Michael Chow
Michael Hui
Michael Lai
Michael Lam
Michael Miu
Michael Ning
Natalis Chan
Walter Tso
Wang Lung-wei
Wang Yin
Wu Ma
Collin Chou
Elton Chong
Elvis Tsui
Eric Kot
Eric Tsang
Francis Ng
Frankie Chan
Frankie Lam
Gill Mohindepaul Singh
Gordon Lam
Gordon Liu
Justin Lo
Ko Tin Lung
Kong Hon
Kong Ngai
Law Kar-ying
Law Lok-lam
Law Wing-cheung
Lawrence Cheng
Lawrence Chou
Mak Ho Wai
Mark Cheng
Michael Tse
Simon Lui
Simon Yam
Stefan Wong
Stephen Chow
Stephen Fung
Szema Wah Lung
Yasuaki Kurata
Yip Sai Wing
Chen Kuan-tai
Cheung Siu-fai
Cheung Wing-fat
Chi Kuan-chun
Chieh Yuan
Chin Han
Chin Ka-lok
Chin Siu-ho
Chor Yuen
Chow Yun-fat
Christopher Doyle
Chui Tien-you
Chung Fat
Chung King-fai
Cliff Lok
Damian Lau
Daniel Wu
Danny Chan
Danny Chan Kwok-kwan
Danny Lee
Dante Lam
David Chiang
David Wu
Dayo Wong
Dean Shek
Dicky Cheung
Eagle Han-ying
Eason Chan
Eddie Li
Eddy Ko
Edison Chen
Edmond Leung
Edwin Siu
Ekin Cheng
Evergreen Mak Cheung-ching
Hui Shiu-hung
Hung Yan-yan
Jackie Chan
Jackson Wang
Jacky Cheung
Jacky Heung
Jacob Cheung
Jason Chan
Jason Chan Chi-san
Jason Tobin
Jaycee Chan
Jerry Lamb
Jet Li
Jim Chim
Jim Tang
Joe Junior
Joe Ma
Joel Chan
Kelvin Kwan
Ken Lo
Kenneth Ma
Kenneth Tsang
Kenny Bee
Kenny Wong
Moses Chan
Raymond Cho
Raymond Lam
Raymond Wong Ho-yin
Raymond Wong Pak-ming
Sam Chan
Sam Hui
Ka-Sing Lam
Lau Dan
Lau Kar-leung
Lau Kar-wing
Lau Kong
Lowell Lo
Timmy Hung
Tin Kai-man
Wilfred Lau
William Chan
Wong Cho-lam
Wong He
Wong Hok-Sing
Wong Jing
Wong Tin-lam
Wong Yat-fei
Wong Yue
Gregory Wong
Ha Yu
Hacken Lee
Han Ying-chieh
Hsiao Ho
Huang Tsung-hsing
Huang Yu
James Tien
James Wong Jim
Jan Lamb
Jordan Chan
Karl Maka
Liu Kai-chi
Roger Kwok
Roman Tam
Teddy Robin
Hawick Lau
Herman Yau
Him Law
Patrick Tam
Patrick Tang
Patrick Tse
Paul Chun
Paul Chung
Paul Wei Ping-ao
Paul Wong
Peter Mak
Peter Yang
Philip Keung
Philip Kwok
Philip Ng
Ram Chiang
Wayne Lai
Pakho Chau
Pal Sinn
Pang Ho-cheung
Robin Shou
Norman Chui
Power Chan
Ron Heung
Ron Ng
Ronald Cheng
Tse Kwan-ho
Tsui Hark
Unicorn Chan
Waise Lee
Wakin Chau
Wallace Chung
