András Stohl
Antos Gémes
Attila Kaszás
Attila Mokos
Imre Sinkovits
Imre Soós
István Gyurity
Bela Lugosi
Béla Ormos
Béni Egressy
George Sidney
Pál Jávor
Pál Regős
Péter Scherer
Tamás Major
S. Z. Sakall
Sándor Csányi
Sándor Kömíves
Sándor Szoboszlai
Gyula Bartos
Gyula Bodrogi
Gyula Gózon
Gyula Szabó
Gyula Zilahy
György Cserhalmi
György Harag
György Kürthy
Gábor Egressy
Gábor Mádi Szabó
Géza Koroknay
Jenő Törzs
Mihály Fekete
Mihály Rácz Rajna
Miklós Gábor
Miklós Vig
Tibor Bodor
Tibor Halmay
Ferenc Szécsi
Ferenc Zenthe
Kálmán Rózsahegyi
Károly Eperjes
Károly Gesztesi
Károly Sugar
Maximilian Steiner
Márton Rátkai
Emil Fenyvessy
Emil Keres
János Gálvölgyi
János Görbe
János Rajz
József Hajdú
József Juhász
József Sas
László Görög
László Helyey
László Tahi Tóth
László Z. Molnár
Zoltán Gera
Zoltán Makláry
Zsigmond Czakó
Dezső Kertész
Ernő Szenes
Hugó Gruber
Ludwig Barnay
Gusztáv Vándory
Josef Kainz
Roland Selmeczi
Iván Darvas
Iván Kamarás
Iván Verebély
