Achille Millo
Adalberto Maria Merli
Adam Alexi-Malle
Adolfo Celi
Adriano Giannini
Adriano Pappalardo
Albert Carrier
Alberto Frezza
Alberto Lupo
Alberto Molinari
Alberto Sordi
Aldo Puglisi
Aldo Ralli
Alessandro Fersen
Alessandro Gassmann
Alessandro Momo
Alessandro Preziosi
Alessandro Sperduti
Alessio Saro
Alfredo Pea
Alfredo Rizzo
Andrea Aureli
Andrea Bruschi
Andrea Giordana
Andrea Roncato
Andrea Scotti
Andrea Tidona
Angelo Maggi
Angelo Russo
Annibale Ninchi
Antonello Fassari
Antonio Allocca
Antonio Cantafora
Antonio Catania
Antonio Cifariello
Antonio Guidi
Antonio Pierfederici
Antonio Sabàto Jr.
Antonio Sabàto Sr.
Antonio Salines
Armando Bandini
Armando Brancia
Arnaldo Ninchi
Furio Meniconi
John Cassini
Johnny Dorelli
Lello Arena
Leo Gullotta
Bart Ruspoli
Beniamino Maggio
Biagio Pelligra
Brando Pacitto
Bruno Cirino
Bruno Corazzari
Bruno Corelli
Bruno Scipioni
Bruno Zanin
Camillo Milli
Carlo Alighiero
Carlo Bonomi
Carlo Buccirosso
Carlo Campanini
Carlo Croccolo
Carlo D'Angelo
Carlo De Mejo
Carlo Delle Piane
Carlo Giuffrè
Carlo Hintermann
Carlo Monni
Carlo Reali
Carlo Romano
Carlo Sabatini
Carlo Sposito
Carlo Valli
Gennaro Cannavacciuolo
Lando Buzzanca
Lorenzo Branchetti
Lorenzo Crespi
Lorenzo Richelmy
Loris Gizzi
Pasquale Anselmo
Pupo De Luca
Teo Mammucari
Terence Hill
Ricky Memphis
Ricky Tognazzi
Saverio Moriones
Tony Sperandeo
Totò
Ubaldo Lay
Ugo Bologna
Ugo Fangareggi
Ugo Pagliai
Ugo Sasso
Ugo Tognazzi
Victor Rietti
Vincenzo Amato
Vincenzo Crocitti
Vincenzo Salemme
Vinicio Sofia
Vito Antuofermo
Vittorio Amandola
Vittorio Congia
Vittorio Di Prima
Vittorio Duse
Vittorio Guerrieri
Vittorio Sanipoli
Vittorio Stagni
Yuri Buzzi
Cesare Barbetti
Cesare Bocci
Cesare Gelli
Cesare Polacco
Cesco Baseggio
Matteo Brancaleoni
Nicola Pistoia
