Aaron Altaras
Albert Heine
Alexander Granach
Fritz Kortner
Leonard Steckel
Benito Gutmacher
Bernd Aldor
Buddy Elias
Georg John
Dominique Horwitz
Jeff Wilbusch
Julius Falkenstein
Otto Wallburg
Ferdinand Heckscher
Ferdy Mayne
Kurt Gerron
Kurt Lilien
Max Davidson
Max Ehrlich
Max Nosseck
Michael Mellinger
Walter Rilla
Karl Falkenberg
Christian Berkel
David Hurst
Ernst Deutsch
Ernst Dohm
Ernst Reicher
Erwin Kalser
Eugen Burg
Jacob Herzfeld
Curt Bois
Ludwig Barnay
Wolfgang Zilzer
Hans Behrendt
Hans Sternberg
Hermann Picha
Hermann Vallentin
Paul Biensfeldt
Marcel Hillaire
Robert Garrison
