Aasif Mandvi
Ade Edmondson
Andrew-Lee Potts
Aqib Khan
John Hollingworth
John Middleton
John Sharp
Lee Otway
Bernard Gallagher
Bernard Hepton
Bramwell Fletcher
C. V. France
George Layton
Richard Standing
Steven Hartley
Victor Travers
Donal Donnelly
Duncan Preston
Matthew Hall
Mike Burns
Nicky Evans
Sam Riley
Samuel Bottomley
Derek Benfield
Leslie Sands
Walter Forde
Enzo Cilenti
Simon Rouse
Steve Hodson
Chris Fountain
Christopher Smith
David Roper
Edgar Norfolk
Edward Petherbridge
Jerrold Robertshaw
Ken Kitson
Timothy West
Wilfrid Lawson
Hubert Carter
James Thornton
Jonathan Linsley
Jonathan Mason
Harry Royston
Peter Firth
Richard Alexander
