Artúr Somlay
Attila Hörbiger
Imre Bajor
Imre Ráday
István Bujtor
István Szabó
John Bartha
John H. Auer
Barta Barri
Bence Penke
Bernhard Buchbinder
Béla Ernyey
Béla Ormos
Can Togay
Pál Regős
Pál Zolnay
Péter Andorai
Péter Benkő
Péter Halász
Péter Haumann
Tamás Major
S. Z. Sakall
Shmuel Wolf
Sándor Csányi
Sándor Kömíves
Sándor Simó
Sándor Szabó
Charles Puffy
Gyula Benkő
Gyula Bodrogi
Gyula Csortos
Gyula Gazdag
György Bárdy
György Dénes
György Kézdy
György Kürthy
Gábor Baraker
Géza Balkay
Géza Hofi
Géza Koroknay
Géza Tordy
Géza von Bolváry
Jenő Törzs
Joël Cantona
Jules White
Julius Herska
Miklós Vig
Oscar Beregi
Oscar Beregi
Rudolf Somogyvári
Tibor Bitskey
Tibor Feheregyhazi
Tibor Lubinszky
Kálmán Rózsahegyi
Károly Gesztesi
Károly Sugar
Leopold Teller
Max Zilzer
Maximilian Steiner
Márton Rátkai
János Gálvölgyi
János Herskó
János Rajz
László Helyey
László Márkus
László Sinkó
László Szabó
László Tahi Tóth
Mickey Hargitay
Zoltán Bezerédi
Zoltán Buday
Zoltán Greguss
Zoltán Kamondi
Zoltán Makláry
Zoltán Várkonyi
Dezső Garas
Dénes Gulyás
Eduard Rothauser
Hugó Gruber
Janos Prohaska
Ludwig Barnay
Gustav Kadelburg
Gusztáv Vándory
Guy Deghy
Josef Jarno
Roland Selmeczi
Snitz Edwards
Iván Verebély
Paul Hörbiger
Paul Lukas
Norbert Növényi
Sandor Elès
