Adrián Yospe
Alberto Fernández de Rosa
Alberto de Mendoza
Alejandro Rey
Alex Romano
Alfredo Alcón
Armando Bó
Arturo Bonín
Arturo García Buhr
Arturo Maly
Leo Deluglio
Leonardo Nam
Leonardo Sbaraglia
Barry Norton
Bernard Blier
Berta Muñiz
Cacho Castaña
Carlos Balá
Carlos Bellucci
Carlos Moreno
Carlos Thompson
Geoffrey Horne
George Rigaud
Héctor Alterio
Héctor Calcaño
Lalo Hartich
Lorenzo Ferro
Patricio Borghetti
Stéfano de Gregorio
Tato Bores
Pedro Aleandro
Pedro Quartucci
Cayetano Biondo
Domingo Federico
Duilio Marzio
José Cibrián
José Marrone
Juan Carlos Altavista
Juan Carlos Barbieri
Juan Carlos Calabró
Juan Diego Botto
Juan Minujín
Juan Pablo Di Pace
Juan Vítola
Julio Chávez
Julián Bourges
Julián Gil
Miguel Varoni
Miguel Ángel Solá
Nicolás Cabré
Nicolás Pauls
Nicolás Riera
Osvaldo Cattone
Osvaldo Miranda
Sebastián Francini
Sebastián Rulli
Fernando Lupiz
Gastón Pauls
Gastón Soffritti
Gogó Andreu
Leopoldo Verona
Warly Ceriani
Elio Pietrini
Elías Isaac Alippi
Emilio Insolera
Enrique Pinti
Francisco Álvarez
Gino Renni
Ignacio Huang
Leandro Taub
Mario Sapag
Michel Brown
Michel Noher
Tomas Ross
Daniel Hendler
Darío Lopilato
Dick Haymes
Diego García
Diego Olivera
Diego Peretti
Diego Rafecas
Diego Ramos
Diego Soldano
Délfor Dicásolo
Eduardo Pavlovsky
Ernesto Acher
Ernesto Alterio
Esteban Mellino
Ezequiel Rodríguez
Facundo Arana
Florencio Parravicini
Florindo Ferrario
Hugo Arana
Joaquín Ferreira
Joe Rígoli
Milo Quesada
Raúl Astor
Ludovico Di Santo
Luis Arata
Luis Dávila
Luis Sandrini
Manuel Alcón
Manuel Granada
Martín Adjemián
Martín Karpan
Pablo Bardauil
Sergio Kleiner
Tito Alonso
Guillermo Battaglia
Guillermo Francella
Jorge Maggio
Jorge Marrale
Jorge Porcel
Rodolfo Zapata
Rodrigo Guirao
Rodrigo de la Serna
Marcelo Córdoba
Marcos Caplán
Marcos Zucker
Néstor Fabián
Orestes Caviglia
Roberto Escalada
Norberto Aroldi
Ricardo Bauleo
Ricardo Darín
Ricardo Lavié
Ricardo Morán
Ricardo Passano
Santiago Amigorena
Ulises Dumont
Víctor Bó
