Abubakar Salim
Adam Godley
Adrian Scarborough
Aiden Turner
Alex Pettyfer
Andrew O'Connor
Anthony Meyer
John Bardon
John Clark
John Grillo
Johnny Vaughan
Bernard Horsfall
Billy Price
Bradley Walsh
Bruce Alexander
Gavin Campbell
Gavin McInnes
Geoffrey Chater
Richard Howard
Tony Hendra
Vincent Riotta
Vinnie Jones
Matt King
Neil Mullarkey
Nick Helm
Reginald Owen
Tim Bentinck
Tim Downie
Trevor Howard
Kim Peacock
Michael Attwell
Michael Bentine
Michael Bradshaw
Michael Hordern
Craig Vye
Frank Jarvis
Kaplan Kaye
Simon Treves
Stephen Greif
Christopher Fairbank
Christopher Strauli
Cliff Richard
David Kossoff
David Meyer
David Schaal
Davy Burnaby
Ed Westwick
Edmund Purdom
Edward Gordon Craig
Hugh Paddick
Keith Wickham
Will Kemp
Will Merrick
Greg Kramer
James Warwick
Roger Ashton-Griffiths
Thomas Law
Herbert Mundin
Paul Freeman
Paul Jesson
Peter Copley
Peter Mensah
Peter Sproule
Peter Sullivan
Robert Glenister
Robin Stevens
Richard Beaumont
Richard Dempsey
Sacha Bennett
Terry Scott
