Aaron O'Connell
Adam Driver
Adam Kennedy
Alex Karras
Allan Lane
Alvy Moore
Andrew Duggan
Andrew J. West
Anthony Caruso
Art LaFleur
Avery Brooks
Fred Gamble
Fred Williamson
Frederick Burton
Henry Stram
Isiah Whitlock Jr.
John Bowers
John Bromfield
John Calvert
John Clarke
John Daniels
John Hubbard
Johnny Silver
Leon Ames
Bartlett Cormack
Bill Cable
Bill Thompson
Bill Walker
Billy Lee
Bob Elkins
Bobby Sherwood
Brian Lane Green
Buck Jones
Buddy Lewis
Burl Ives
George Molchan
Ian Barford
Lon Poff
Strother Martin
Stuart Randall
Pomeroy Cannon
Victor Potel
Victor Varnado
William Marshall
Zachary Abel
Chad Everett
Charles Aidman
Charles Arnt
Charles Butterworth
Charles Cummings
Charles Dingle
Charles Murray
Drake Hogestyn
Drew Powell
Jean Shepherd
Jeff Osterhage
Jeffrey Stone
Red Skelton
Scatman Crothers
Scott Halberstadt
Tim Whelan
Tre Manchester
Dee Bradley Baker
Denny Miller
Kermit Maynard
Kid Chissell
Kyle Bornheimer
Max Terhune
Michael Evans Behling
Michael McCarty
Myron McCormick
Elmo Lincoln
Eric Bruskotter
Forrest Lewis
Forrest Tucker
Maris Valainis
Michael Rosenbaum
Michael Warren
Singin' Sam
Steve Clark
Steve Hollar
Steve McQueen
Sydney Pollack
Tom Harmon
Tom Santschi
Chubby Johnson
Claude Akins
Clay Tanner
Dan Butler
Dan Resin
David Canary
Dayo Okeniyi
Dean Norris
Dick Durock
Dick York
Dylan Minnette
Edward Roseman
Ernest Lee Thomas
Ethan Sandler
Ezra Buzzington
Hugh Studebaker
Hunter von Leer
Jake Lloyd
James Carew
James Dean
James Edwards
James Lee Guy
Jarrett Maier
Jess Hahn
Jim Gaffigan
Joe Cook
Joe Higgins
Joe Keaton
Ken Kercheval
Ken Maynard
Kenneth MacDonald
Morgan Freeman
Raymond Walburn
Larry Steers
Timothy Brown
Will Geer
William Edward Phipps
William Jordan
Greg Kinnear
Grey Damon
James Pierce
James Rebhorn
Jan Schweiterman
Jordon Hodges
Jose Pablo Cantillo
Joseph Stephen Crane
Karl Malden
Lloyd Haynes
Russ Powell
Ted Quinn
Harry Benham
Harry Keenan
Harry von Zell
Herb Shriner
Herb Vigran
Herschel Sparber
Ivan Rogers
J.N. Roberts
Patrick McVey
Peter Reckell
Phil Harris
Philip Proctor
Ralph Dumke
Ralph Richeson
Rob Wiethoff
Robert Keith
Robert Rusler
Norman Foster
Richard "Skeets" Gallagher
Richard Bennett
Richard Crane
Ron Glass
Tex Terry
The Amazing Criswell
