Achille Millo
Aldo Bufi Landi
Aldo Giuffrè
Alessandro Preziosi
Alessandro Siani
Alighiero Noschese
Andrea Calcese
Andrea Scotti
Antonio Cifariello
Antonio Pennarella
Armando Brancia
Arturo Falconi
Lello Arena
Beniamino Maggio
Bruno Cirino
Bud Spencer
Carlo Buccirosso
Carlo Croccolo
Pasquale Esposito
Rino Genovese
Tony Rosato
Totò
Ugo D'Alessio
Vincent Gardenia
Vittorio Caprioli
Doug Walker
Nino Vingelli
Tiberio Fiorilli
Leopoldo Mastelloni
Maurizio Casagrande
Corrado Annicelli
Elvio Porta
Ennio Balbo
Enrico Glori
Enzo Cannavale
Enzo Maggio
Enzo Petito
Francesco Paolantoni
Francesco Pezzulli
Francesco Vairano
Franco Garofalo
Franco Pesce
Franco Ressel
Giacomo Rizzo
Giampaolo Morelli
Gianfranco Terrin
Gianni Minervini
Gigi Reder
Gigi Savoia
Giorgio Lopez
Giuseppe Anatrelli
Giuseppe Porelli
Mariano Rigillo
Mario Carillo
Mario Trevi
Pino Ammendola
Silvio Orlando
Stefano Satta Flores
Dante Maggio
Eduardo De Filippo
Eduardo Notari
Eugenio Viola
Fabio Fulco
Fabio Traversa
Filippo Scotti
Salvatore Cantalupo
Luciano De Crescenzo
Lucio Amelio
Luigi Petrucci
Massimiliano Gallo
Livio Cori
Hector Sarno
Peppino De Filippo
Libero De Rienzo
Orazio Orlando
Renato Terra
