50 Cent
A. D. Miles
Aaron Schwartz
Abe Simon
Abe Vigoda
Abraham Lim
Ad-Rock
Adam Arkin
Adam Ferrara
Adam Hann-Byrd
Adam Lamberg
Adam Richman
Adam Roarke
Adam Sandler
Adam Savage
Adam Storke
Adam Zolotin
Adolph Caesar
Adrian Grenier
Adrian Martinez
Adrian Morris
Adrien Brody
Adrián Suar
Ahmed Best
Al Bandiero
Al Franken
Al Hill
Al Lettieri
Al Lewis
Al Matthews
Al Pacino
Al Rodrigo
Al Roker
Al Sapienza
Al Silvani
Alan Alda
Alan Arkin
Alan Cherry
Alan Crosland
Alan Feinstein
Alan Hewitt
Alan King
Alan Landers
Alan North
Alan Reed
Albert Dekker
Albert Hackett
Albert Howson
Albert Marre
Albert Parker
Albert Popwell
Albert Russell
Albert Salmi
Alec Musser
Alex Barris
Alex Landi
Alex Veadov
Alexander Chaplin
Alexander Scourby
Alexis Cruz
Alfonso Ribeiro
Alfred C. Cerullo III
Alfred Drake
Alfred Ryder
Alimi Ballard
Allan Arbus
Allan Forrest
Allan Melvin
Allan Miller
Allan Rich
Allen Jenkins
Allen Payne
Allen Swift
Alonzo Bodden
Andre Royo
Andrew Dice Clay
Andrew J. Lederer
Andrew Kavovit
Andrew McCarthy
Andrew Robinson
Andy Kaufman
Andy Kindler
Andy Mineo
Ansel Elgort
Anthony Aibel
Anthony Denison
Anthony Franciosa
Anthony Michael Hall
Anthony Perkins
Anthony Ramos
Antonio Fargas
Antony Alda
Antony Ponzini
Arch Johnson
Ari Lehman
Arian Moayed
Ariel Schulman
Armand Assante
Arnold Johnson
Arnold Moss
Aron Tager
Art Baker
Art Hsu
Art Metrano
Arte Johnson
Arthur Anderson
Arthur Burghardt
Arthur Byron
Arthur L. Jarrett
Arthur O'Connell
Arthur Q. Bryan
Artie Auerbach
Asher Grodman
Ashley Springer
Austin Basis
Austin Pendleton
Fred Aldrich
Fred Fleck
Fred Gwynne
Fred Hechinger
Fred Melamed
Fred Sadoff
Fred Stoller
Fred Tatasciore
Fred Travalena
Freddie Prinze
Frederick Koehler
Fredro Starr
Henry Darrow
Henry Hull
Henry Otho
Henry Otto
Henry Silva
Henry Winkler
Ira Aldridge
Ira Heiden
Irving Cummings
Irwin Corey
Irwin Keyes
Isaiah Stannard
Joey D'Auria
Joey Dedio
Joey Fatone
Joey Faye
Joey Silvera
John A. Arneaux
John Berry
John Boyd
John Bunny
John Byner
John C. McGinley
John Callahan
John Calvin
John Carradine
John Carter
John Craven
John Cygan
John D'Aquino
John Dall
John Davidson
John Dehner
John Dilson
John Emery
John F. Hamilton
John Finn
John Finnegan
John Ford Noonan
John G. Adolfi
John Garfield
John Gatins
John Gemberling
John Gulager
John Harlacher
John Hostetter
John Karlen
John Kerr
John Lavelle
John Leguizamo
John Mariano
John Marley
John McGiver
John Megna
John Mengatti
John Michael King
John Monteith
John Moschitta Jr.
John Murray Anderson
John Nolan
John Ortiz
John P. McGarr
John P. Ryan
John Paul Hudson
John Pleshette
John R. Countryman
John Randolph
John Reardon
John Roberts
John Ross Bowie
John Saxon
John Strasberg
John Turturro
John Vargas
John Ventimiglia
John Viener
John Westley
Johnnie Walker
Johnny Cannizzaro
Johnny Roventini
Johnny Sanchez
Jon Abrahams
Jon Cryer
Jon Cypher
Jon Favreau
Jon Rua
Jon Seda
Jon Stewart
Jonah Falcon
Jonah Meyerson
Lee J. Cobb
Lee Kinsolving
Lee Marvin
Lee Philips
Lee Wallace
Leland Gantt
Lemon Andersen
Len Lesser
Lennie Weinrib
Lenny Kravitz
Lenny Montana
Lenny Schultz
Lenny Venito
Leo Gordon
Leo O'Brien
Leon Rains
Leon Robinson
Leon Thomas III
Leonard Frey
Leonard Harris
Leonardo Cimino
Liam Aiken
B. Reeves Eason
Barnard Hughes
Barney Martin
Barrett Foa
Barry Lynch
Barry Manilow
Barry Primus
Barry Robins
Barry Rothbart
Barry Sullivan
Bart Burns
Basil Wallace
Baynes Barron
Beau Starr
Ben Cook
Ben Gazzara
Ben Lessy
Ben Powers
Ben Rappaport
Ben Schwartz
Ben Shenkman
Ben Stiller
Benj Thall
Benjamin Busch
Benjamín Benítez
Bennes Mardenn
Bern Cohen
Bernard Barrow
Bernard Grant
