Abel Gance
Adam Senn
Aimé Simon-Girard
Alain Bashung
Alain Maratrat
Alain Noury
Albert Dieudonné
Albert Dinan
Alcide Tousez
Alexandre Rignault
Andrea Habay
André Berley
André Bervil
André Calmettes
André Charlot
André Dubosc
André Fouché
André Gabriello
André Le Gall
André Lefaur
André Nicolle
André Nox
André Valmy
Antoine Duléry
Antoine Jacob
Antoine Michel
Antoine Vitez
Antoine de Caunes
Arieh Worthalter
Armand Kaliz
Arthur Jugnot
Ary Abittan
Aurélien Recoing
François Civil
François Cluzet
François Guérin
François Levantal
François Marthouret
François Perrot
François Périer
François Truffaut
Frédéric Duvallès
Frédéric Febvre
Frédéric Mitterrand
Frédéric Pierrot
Frédéric de Pasquale
Henri Attal
Henri Cogan
Henri Desfontaines
Henri Garat
Henri Monteux
Henri Rollan
Henri Valbel
Henri Étiévant
Johan Libéreau
John A. Arneaux
Johnny Hallyday
Benjamin Siksou
Benoît Magimel
Bernard-Pierre Donnadieu
Bernard Lavalette
Bernard Tapie
Bernard Tiphaine
Boris Roatta
Bruno Wolkowitch
Bunny Breckinridge
Cameron Moulène
Carloto Cotta
Ibrahim Koma
Louis-Arsène Delaunay
Louis-François Ribié
Louis Baron, son
Louis Gallodier
Louis Garrel
Pascal Greggory
Pascal Légitimus
Patrice Chéreau
Stanislas Merhar
Stanislas Nordey
Stanley Weber
Stéphane Freiss
Melvil Poupaud
Molière
Oliver Laxe
Olivier Broche
Olivier Gruner
Olivier Hussenot
Olivier Martinez
Régis Laspalès
Saïd Taghmaoui
Steve Suissa
Sébastien Foucan
Sébastien Izambard
Thibault Vinçon
Victor Lanoux
Vincent Cassel
Vincent Lacoste
Vincent Moscato
Yves Barsacq
Yves Brainville
Yves Deniaud
Charles Aznavour
Charles Dechamps
Dominique Nohain
Dominique Zardi
Dorvigny
Guy Marchand
Guy Montagné
Guy Tréjan
Gérard Berliner
Gérard Blain
Gérard Darmon
Gérard Depardieu
Gérard Filippelli
Gérard Jugnot
Gérard Rinaldi
Gérard Séty
