40
Aaron Abrams
Aden Young
Adrian Petriw
Ajay Fry
Al Mukadam
Al Mulock
Al Waxman
Alan Crofoot
Alan Mandell
Albert M. Chan
Alex Barris
Alex Carter
Alex Furber
Alex House
Alex Karzis
Alex Ozerov
Ali Badshah
Andrew Chalmers
Andrew Miller
Andrew Tite
Anthony J. Mifsud
Araya Mengesha
Ardon Bess
Ari Magder
Art Hindle
Atticus Mitchell
Avery Saltzman
Fred Woodward
Henry Czerny
John Aylesworth
John Barbour
John Bregar
John Cassini
John Catucci
John Colicos
John Mark Robinson
John Merivale
John Paul Ruttan
John White
Johnny Washbrook
Johnny Wayne
Lee Jae-yoon
Len Birman
Beau Kazer
Benjamin Sadler
Bernie Orenstein
Berton Churchill
Bill Luxton
Billy Van
Bob Dolman
Bobby Ash
Boris Cherniak
Brad Armstrong
Bradley Lavelle
Brandon Chang
Brendan Canning
Brendan Fraser
Brian George
Brian Huggins
Bruce Dow
Bruce Gray
Bruce McDonald
Carl Banas
Carlo Rota
George Buza
George Finn
George Hall
Graham Abbey
Graham Jarvis
Lamar Johnson
Lorne Michaels
Lou Jacobi
Louis Ferreira
Mackenzie Gray
Pat Mastroianni
Pat Mills
Patrick J. Adams
Stanley Maxted
Sunny Besen Thrasher
Tawiah M'carthy
Merwin Mondesir
Richard Williams
Rick Fox
Rick Miller
Rick Moranis
Steve Smith
Tony Nappo
Tony Rosato
Torquil Campbell
Zack Ward
Zaib Shaikh
Cec Linder
Cesar Corrales
Chad Donella
Charles Arling
Charles Dennis
Charles Officer
Dmitry Chepovetsky
Dominic Lam
Don Harron
Don McKellar
Donovan Brown
Douglas Smith
Douglas Walton
Dov Tiefenbach
Drake
Drew Nelson
Ins Choi
Jean-Michel Le Gal
Jeff Douglas
Jeff Lumby
Jeff Pustil
Jeff Wincott
Jeremy Ferdman
Jeremy Hotz
Matt Austin
Matt Johnson
Matt Watts
Matthew Bennett
Matthew Ferguson
Maurice Dean Wint
Maurice Godin
Maurice LaMarche
Maurice Manson
Mike Lobel
Mike Myers
Mike Wilmot
Miklos Perlus
Neil Crone
Neil Hope
Neil Munro
Neil Vipond
Nicholas Campbell
Nick Johne
Nigel Shawn Williams
Sean Roberge
Trevor Smith
Demetrius Joyette
Demore Barnes
Denis Akiyama
Denis Simpson
G. Stanley Jones
Gabriel Hogan
Gage Munroe
Garen Boyajian
Gary Files
Gary Reineke
Kiefer Sutherland
King Bach
Kristian Bruun
L. Dean Ifill
Les Lye
Maury Chaykin
Mavor Moore
Max Topplin
Maxwell McCabe-Lokos
Michael Duhig
Michael Ironside
Nathan Stephenson
Walter Massey
Colin Mochrie
Connor Jessup
Corey Haim
Cory Doran
Coyote Shivers
Craig Russell
Eli Gabay
Ely Henry
Ennis Esmer
Enrico Colantoni
Ephraim Ellis
Eric Bauza
Eric Fryer
Eric McCormack
Eric Peterson
Erik Knudsen
Frank D'Angelo
Frank Meschkuleit
Frank Shuster
Gerry Dee
Giacomo Gianniotti
Gil Filar
Gordon Tanner
Justin Kelly
K. Dock Yip
K. Trevor Wilson
Luka Magnotta
Luke Bilyk
Lyriq Bent
Mark Dailey
Mark Farrell
Mark Rendall
Mark Taylor
Michael Rudder
Michael Seater
Michael Wincott
Shamier Anderson
Shane Kippel
Shane Rimmer
Sidney Olcott
Siluck Saysanasy
Sinn Bodhi
Spencer Lofranco
Spencer Rice
Stefan Arngrim
Stefan Brogren
Stephan James
Stephen Amell
Stephen Lobo
Stephen Young
Sterling Campbell
Steve Byers
Steve Mackall
Sydney Banks
Tom Burlinson
Tom Busby
Tony Daniels
Yani Gellman
Yank Azman
Chas Lawther
Chris Diamantopoulos
Chris Doohan
Chris Earle
Chris Owens
Chris Potter
Christian Campbell
Christopher Britton
Christopher Jacot
Christopher Plummer
Chuck Shamata
Clark Johnson
Clay Borris
Clifford Bruce
D'Pharaoh Woon-A-Tai
Dakota Goyo
Dalmar Abuzeid
Damien Atkins
Dan Lett
Dan Redican
Daniel Clark
Daniel DeSanto
Daniel Hyatt
Daniel Kash
Daniel Magder
Daniel Samonas
Danny Antonucci
Danny Brooks
Darren Dunstan
Darrin Brown
Dave Foley
David Alpay
David Berni
David Berry
David Cronenberg
David Dineen-Porter
David Eisner
David Giammarco
David Hemblen
David Hewlett
David Rocco
David Soren
David Yee
Dean McDermott
Devon Bostick
Dylan Taylor
Earle Rodney
Ed McNamara
Ed Robertson
Ed Sahely
Eddie Della Siepe
Edge
Edward Earle
Ernie Coombs
Fab Filippo
Hugh Webster
Jack Blum
Jack Creley
Jack Duffy
Jack Pickford
Jake Beale
Jake Epstein
Jake Goldsbie
James Allodi
James Cade
James Carroll
James Gallanders
Jason Deline
Jason Spevack
Jeremy Wilkin
Jerry Schaefer
Jesse Carere
Jesse Collins
Jesse Nilsson
Jim Carrey
Joel Gordon
Keanu Reeves
Ken McDougall
Ken Pogue
Kenneth Mitchell
Kenny Hotz
Raymond Ablack
Raymond Massey
Tyler Hynes
Larry D. Mann
Lovell Adams-Gray
Sergio Di Zio
Ski Hi Lee
Slim Twig
Timothy Findley
Todd Doldersum
Will Arnett
William B. Davis
William Healy
William Hutt
Gregory Smith
Guillermo del Toro
Howie Mandel
James Rennie
Jamie Johnston
Jonathan Crombie
Jonathan Sagall
Jonathan Scarfe
Joris Jarsky
Joseph Jomo Pierre
Joseph Motiki
Kawa Ada
Lister Sinclair
Lloyd Bochner
Lloyd Richards
Mpho Koaho
Neal Bledsoe
Russell Peters
Rusty Ryan
Sneezy Waters
Ted Roop
Harland Williams
Hart Bochner
Harvey Atkin
Hawksley Workman
Hayden Christensen
Heath Lamberts
Herbert Fortier
Ivor Francis
Ivor Lewis
JR Bourne
Paul Haddad
Paul Mann
Paul Soles
Peter DaCunha
Peter Helm
Peter Kastner
Peter Outerbridge
Peter Spence
Phil Burke
Philip DeWilde
Rainbow Sun Francks
Rajiv Surendra
Liam Titcomb
Marc Bendavid
Marc Donato
Marc Worden
Rizwan Manji
Robbie Amell
Robert Christie
Robert Clark
Robin Dunne
Robin Spry
Noah Cappe
Noah Mills
Noah Reid
Norm Berketa
Rex Hagon
Richard Chevolleau
Richard Eden
