Adrian Dunbar
Austin Trevor
John Lynch
Birdy Sweeney
Brian Rooney
Charles Lawson
Joseph Tomelty
Niall Wright
Sean Pol McGreevy
Kevin Trainor
Michael Colgan
Michael Legge
Colin Blakely
Colin Morgan
Conleth Hill
Conor MacNeill
Fra Fee
Gerald Home
Gerard McCarthy
Gerard McLarnon
Gerard Murphy
Martin McCann
Stephen Kennedy
Stephen Rea
Ciarán Hinds
Damian O'Hare
David Caves
David Hurst
James Ellis
Kenneth Branagh
Ray Stevenson
William Houston
James Nesbitt
James Young
Jonathan Harden
Jonjo O'Neill
Harold Goldblatt
Harry Towb
Ivan Little
J. J. Murphy
Patrick J. O'Reilly
Patrick Magee
Richard Dormer
