Alistair Browning
Andrew Laing
Andrew Robertt
Andy Anderson
Antonio Te Maioha
Antony Starr
Ari Boyland
Joel Tobeck
John Leigh
John Tui
Ben Barrington
Benedict Wall
Blair Strang
Brian Sergent
Bruce Hopkins
Calvin Tuteao
George Henare
George Mason
Ian Gilmour
Temuera Morrison
Oliver Driver
Shimpal Lelisi
Jeffrey Thomas
Scott Wills
Tim Balme
Tim Kano
Kieren Hutchison
Michael Galvin
Michael Hurst
Craig Parker
KJ Apa
Karl Burnett
Lee Donoghue
Malcolm Murray
Mark Wright
Martin Henderson
Shane Cortese
Simon Prast
Stephen Lovatt
Stephen Papps
Tom Hern
Chic Littlewood
David Aston
Dean O'Gorman
Dwayne Cameron
Jacob Rajan
Jacob Tomuri
Jason Hoyte
Jay Ryan
Ken Blackburn
Pua Magasiva
Rawiri Paratene
Marton Csokas
Martyn Sanderson
Timothy Bartlett
Hori Ahipene
Karl Urban
Kirk Torrance
Paul Gittins
Paul McIver
Peter Adams
Peter Daube
Peter Elliott
Peter McCauley
Paolo Rotondo
Renato Bartolomei
Robert Harte
