Aaron Jeffery
Adam Gardiner
Alan Brough
Alan Dale
Alex Tarrant
Andrew Grainger
Andrew Laing
Andrew Robertt
Andy Anderson
Anton Tennet
Antonio Te Maioha
Antony Starr
Ari Boyland
Joel Tobeck
John Bach
John Callen
John Clarke
John Leigh
John Shrapnell
John Tui
Bartholomew John
Ben Barrington
Benedict Wall
Benjamin Crellin
Benjamin Mitchell
Beulah Koale
Bill Stalker
Billy T. James
Blair Strang
Bret McKenzie
Brian Sergent
Bruce Allpress
Bruce Hopkins
Bruce Purchase
Bruce Spence
Bruce Wightman
Bunny Walters
Caleb Ross
Calvin Tuteao
Cameron Rhodes
Geoff Dolan
George Henare
George Mason
Grant Bowler
Grant Tilly
Ian Gilmour
Ian Mune
Ian Watkin
Louis Sutherland
Stuart Devenie
Tammy Davis
Temuera Morrison
Terence Bayler
Oliver Driver
Shimpal Lelisi
Steven A. Davis
Victor Rodger
Vinnie Bennett
Vivian Dawson
Yoson An
Jeff Szusterman
Jeffrey Thomas
Jemaine Clement
Julian Arahanga
Matariki Whatarau
Matt Whelan
Matthew Walker
Mike Ginn
Nic Sampson
Nico Evers-Swindell
Roy Leywood
Royce Cronin
Sam Neill
Scott Wills
Shayne Biddle
Tim Balme
Tim Eliott
Tim Kano
Denis Lill
Gabriel Reid
Gareth Williams
Gary Day
Kevin Smith
Kieren Hutchison
Michael Dorman
Michael Galvin
Michael Haigh
Michael Hurst
Nathaniel Lees
Wi Kuki Kaa
Colin Mathura-Jeffree
Craig Hall
Craig Parker
Emmett Skilton
Erik Thomson
Francis Kora
Frank Whitten
KJ Apa
Karl Burnett
Lee Donoghue
Malcolm Murray
Mario Gaoa
Mark Hadlow
Mark Mitchinson
Mark Wright
Marshall Napier
Martin Henderson
Michael Wesley-Smith
Pio Terei
Shane Cortese
Simon Prast
Stephen Hunter
Stephen Lovatt
Stephen Papps
Tom Hern
Chic Littlewood
Chris Rankin
Christopher Brown
Christopher Winchester
Cliff Curtis
Clive Revill
Damon Andrews
Daniel Gillies
Danny Mulheron
David Aston
David Austin
David Fane
David Farrier
David McPhail
David de Lautour
Dean O'Gorman
Dwayne Cameron
Ewen Solon
Jacob Tomuri
James Coleman
James Laurenson
Jared Turner
Jarred Blakiston
Jason Hoyte
Jay Laga'aia
Jay Ryan
Joe Naufahu
Ken Blackburn
Milo Cawthorne
Pua Magasiva
Rafe Custance
Rawiri Paratene
Ray Henwood
Lani Tupu
Maaka Pohatu
Marton Csokas
Martyn Sanderson
Timothy Bartlett
William Kircher
Guy Doleman
James Napier Robertson
James Tito
Jamie Irvine
Jonathan Hardy
Karl Urban
Lloyd Berrell
Russell Crowe
Ryan O'Kane
Ryan Runciman
Thomas Rimmer
Thomas Robins
Patrick Kake
Patrick Wilson
Paul Gittins
Paul McIver
Paul McLaughlin
Peter Adams
Peter Daube
Peter Elliott
Peter Gwynne
Peter Hambleton
Peter McCauley
Peter McKenzie
Peter Vere-Jones
Onno Boelee
Pana Hema Taylor
Paolo Rotondo
Renato Bartolomei
Rene Naufahu
Robbie Magasiva
Robert Harte
Robert Pollock
Rhys Darby
