Al Pacino
Alan Rickman
Albert Finney
Alfred Lunt
Andre Braugher
Anthony Hopkins
Armand Assante
Fred Astaire
John Gielgud
Barry Pepper
Beau Bridges
Benedict Cumberbatch
Brendan Gleeson
Geoffrey Rush
George C. Scott
Stanley Tucci
Melvyn Douglas
Richard Jenkins
Maurice Evans
Trevor Howard
Gary Sinise
Kevin Costner
Michael Douglas
Michael Moriarty
Courtney B. Vance
Laurence Olivier
Mark Ruffalo
Mickey Rooney
Tommy Lee Jones
Christopher Plummer
Cliff Robertson
Darren Criss
Dustin Hoffman
Ed Flanders
Ewan McGregor
Hume Cronyn
Jack Klugman
Jack Lemmon
Jack Palance
Jason Robards
Keith Michell
Kenneth Branagh
Raul Julia
William H. Macy
William Holden
Hal Holbrook
James Woods
Lloyd Nolan
Thomas Mitchell
Paul Giamatti
Paul Scofield
Peter Falk
Peter Strauss
Peter Ustinov
Robert Cummings
Robert Duvall
Robert Morse
Powers Boothe
Richard Crenna
