Adolf Dymsza
Aleksander Zelwerowicz
Aleksander Żabczyński
Antoni Fertner
Henryk Rzętkowski
Jonas Turkow
Bogusław Samborski
Paweł Owerłło
Tadeusz Fijewski
Zbigniew Sawan
Wiktor Biegański
Władysław Grabowski
Władysław Walter
Franciszek Brodniewicz
Igo Sym
Józef Węgrzyn
Lech Owron
Mieczysław Cybulski
Stefan Hnydziński
Stefan Jaracz
Zygmunt Chmielewski
Czesław Skonieczny
Eugeniusz Bodo
Jerzy Leszczyński
Jerzy Marr
Kazimierz Junosza-Stępowski
Kazimierz Krukowski
Ludwik Fritsche
Ludwik Lawiński
Romuald Gierasieński
