Angela Lansbury
Audrey Hepburn
Leon Ames
Barbara Stanwyck
Betty White
Bob Hope
Gene Kelly
Stan Laurel
Pearl Bailey
Shirley Temple
Julie Andrews
Ossie Davis
Red Skelton
Walter Pidgeon
Elizabeth Taylor
Frank Sinatra
Iggie Wolfington
Martha Raye
Charlton Heston
Clint Eastwood
Danny Kaye
Dick Van Dyke
Ed Asner
Eddie Cantor
Edgar Bergen
Edward G. Robinson
Jack Lemmon
James Cagney
Joanne Woodward
William Gargan
Gregory Peck
James Stewart
Katharine Hepburn
Kirk Douglas
Nanette Fabray
Paul Newman
Ralph Bellamy
Rita Moreno
Rosalind Russell
