Aoi Miyazaki
Bunta Sugawara
Takaya Kamikawa
Takeshi Kaga
Tatsuya Nakadai
Satoshi Tsumabuki
Shingo Katori
Shun Oguri
Toshiaki Karasawa
Toshiyuki Nishida
Yorozuya Kinnosuke
Yoshiko Mita
Yoshiko Sakuma
Yukie Nakama
Yuriko Yoshitaka
Gō Katō
Jun Matsumoto
Junichi Okada
Matsumoto Hakuō II
Mikijirō Hira
Reiko Ohara
Seiyō Uchino
Shiho Fujimura
Shima Iwashita
Kiichi Nakai
Kin'ya Kitaōji
Kōji Ishizaka
Naoto Ogata
Naoto Takenaka
Ichikawa Ebizō XI
Juri Ueno
Ko Shibasaki
Komaki Kurihara
Mariko Okada
Kazuo Hasegawa
Keiko Matsuzaka
Ken Ogata
Ken Watanabe
Kenichi Matsuyama
Masaharu Fukuyama
Masahiko Tsugawa
Masahiro Motoki
Masato Sakai
Nakamura Kankurō VI
Nakamura Kanzaburō XVIII
Nanako Matsushima
Ryo Yoshizawa
Ryohei Suzuki
Haruka Ayase
Hideaki Takizawa
Hideki Takahashi
Hiroaki Murakami
Hiroki Hasegawa
Hiroki Matsukata
Hiroyuki Sanada
Izumi Motoya
Mao Inoue
Onoe Shoroku II
Noriyuki Higashiyama
Sadao Abe
Tetsuya Watari
