Adam O'Brian
Adrian Street
Andrew Howard
Andy Whitfield
Aneirin Hughes
Aneurin Barnard
Anthony Hopkins
Anthony O'Donnell
Anthony Oliver
Aubrey Richards
Ioan Gruffudd
John Bach
John Golightly
John Rhys-Davies
John Stone
Leon Pownall
Ben Williams
Bernard Fox
Bernard Lloyd
Brook Williams
Hywel Bennett
Ian Whyte
Llŷr Ifans
Stanley Baker
Taron Egerton
Meredith Edwards
Mervyn Johns
Richard Ian Cox
Richard Lynch
Steve Speirs
Victor Spinetti
Vincent Regan
William Simons
William Squire
William Thomas
Charles Morgan
Donald Houston
Matt Ryan
Matthew Gravelle
Matthew Rhys
Reg Evans
Sam Livesey
Tim Vincent
Tim Wylton
Denys Graham
Desmond Llewelyn
Fewlass Llewellyn
Gareth David-Lloyd
Gareth Thomas
Michael Elwyn
Colin McCormack
Craig Roberts
Emlyn Williams
Geraint Griffiths
Glyn Houston
Ieuan Rhys Williams
Justin Davies
Luke Evans
Lyn Harding
Malcolm Vaughan
Mark Donovan
Mark Lewis Jones
Meic Povey
Michael Sheen
Simon Armstrong
Spencer Wilding
Steffan Rhodri
Stephen Evans
Stephen J. Bush
Tom Cullen
Tom Ellis
Tom Rhys Harries
Tom Ward
Chris Bromham
Clifford Evans
Clinton Greyn
Daniel Evans
Darragh Mortell
David Bower
David Davies
David Lyn
Dyfan Dwyfor
E. E. Clive
Eddie Avoth
Eynon Evans
Hubert Rees
Hugh Griffith
Hugh Thomas
Huw Garmon
Jack Livesey
Jay Curtis
Joby Ingram-Dodd
Keith Baxter
Kenneth Griffith
Ray Henwood
Ray Milland
Ray Smith
Raymond Llewellyn
Owain Yeoman
Owen Teale
Griff Rhys Jones
Howard Marks
Jonathan Pryce
Jonny Owen
Karl Johnson
Naunton Wayne
Roddy Hughes
Roger Blake
Roger Rees
Harry Secombe
Ivor Barry
Ivor Emmanuel
Ivor Novello
Iwan Lewis
Iwan Rheon
Paul Amos
Paul Barrett
Paul Rhys
Paul Whitsun-Jones
Peter Halliday
Peter Wingfield
Phaldut Sharma
Philip Madoc
Philip Sayer
Rob Brydon
Robert Blythe
Robert Gwilym
Robert Pugh
Robert Wilfort
Robin Davies
Rex Richards
Rhodri Meilir
Rhys Ifans
Rhys Parry Jones
Rhys Williams
Richard Burton
Richard Davies
Richard Driscoll
Ronald Lewis
Ross O'Hennessy
Terry Jones
Trystan Gravelle
Tudor Owen
