Adam O'Brian
Alan David
Andrew Howard
Andy Hockley
Aneurin Barnard
Anthony Hopkins
Anthony O'Donnell
Anthony Oliver
Arthur Machen
John Golightly
John Rhys-Davies
John Stone
Leon Pownall
Ben Addis
Bernard Lloyd
Brook Williams
Bryn Fôn
Callum Scott Howells
Ian Puleston-Davies
Stan Stennett
Stanley Baker
Neville Hughes
Victor Spinetti
Vincent Regan
William Squire
Charles Dale
Matt Ryan
Matthew Rhys
Mike Gwilym
Tim Treloar
Denys Graham
Fewlass Llewellyn
Gareth David-Lloyd
Gareth Hughes
Gareth Milton
Gareth Thomas
Garnon Davies
Michael Elwyn
Colin George
Colin McCormack
Emlyn Williams
Emrys James
Luke Evans
Lyn Harding
Mark Donovan
Mark Lewis Jones
Martin Cole
Michael Sheen
Shaheen Jafargholi
Stephen Evans
Tom Cullen
Tom Rhys Harries
Tom Ward
Tony Adams
Chico Slimani
Chris Jenkins
Christopher Timothy
Clifford Williams
Clive Hill
Daniel Evans
Daniel Hawksford
Daniel Lloyd
David Davies
David Lyn
Dyfan Dwyfor
Hugh Griffith
Keith Baxter
Kenneth Griffith
Ray Smith
Kai Owen
Owain Arthur
William Jones
Howell Evans
James Morgan
Karl Johnson
Naunton Wayne
Roddy Hughes
Roger Rees
Russell Jones
Harry Greene
Ivor Barry
Ivor Emmanuel
Ivor Novello
Iwan "Iwcs" Roberts
Iwan Lewis
Iwan Rheon
Paul Rhys
Paul Whitsun-Jones
Peter Penry-Jones
Phaldut Sharma
Philip Sayer
Powys Thomas
Rhys Ifans
Rhys Williams
Richard Burton
Richard Davies
Ronald Lewis
Trystan Gravelle
