Alexander Vlahos
Alexandra Roach
Aneirin Hughes
Annes Elwy
Arwyn Davies
Ioan Gruffudd
Islwyn Morris
John Ogwen
Bryn Fôn
Buddug Williams
Caryl Parry Jones
Hywel Bennett
Llŷr Ifans
Sue Jones-Davies
Tara Bethan
Taron Egerton
Meredith Edwards
Richard Harrington
Richard Lynch
Victoria Plucknett
Donna Edwards
Gwyneth Keyworth
Julian Lewis Jones
Matthew Gravelle
Matthew Rhys
Nerys Hughes
Nia Caron
Nia Roberts
Garnon Davies
Myfanwy Talog
Elis James
Emlyn Williams
Emrys James
Erin Richards
Geraint Todd
Gillian Elisa
Ieuan Rhys
Ieuan Rhys Williams
Lauren Phillips
Lisa Victoria
Mali Harries
Maria Pride
Mark Lewis Jones
Meic Povey
Sian Reese-Williams
Steffan Rhodri
David Lyn
Eirlys Bellin
Eve Myles
Huw Garmon
Jacob Ifan
Rachel Thomas
Kai Owen
Siân Phillips
Jonathan Pryce
Kate Jarman
Ryan Davies
Iwan "Iwcs" Roberts
Iwan Rheon
Philip Madoc
Rhodri Meilir
Rhys Ifans
Richard Burton
Richard Elis
