A. J. Cook
Aimée Castle
Alanis Morissette
Alberta Watson
Alexis Smith
Alexz Johnson
Alisen Down
Alison Matthews
Alison Pill
Alison Sealy-Smith
Allie MacDonald
Alyson Court
Amanda Brugel
Amanda Tapping
Amanda Walsh
Amy Jo Johnson
Amy Matysio
Anais Granofsky
Andrea Libman
Andrea Martin
Andrea Menard
Andrea Roth
Andrée Lachapelle
Angela Featherstone
Angela Galuppo
Angela Tong
Angèle Coutu
Ann Knox
Ann Rutherford
Anna Paquin
Anna Silk
Anne-Marie Martin
Anne Casabonne
Anne Dorval
Anne Legault
Annick Obonsawin
April Telek
Arden R. Ryshpan
Arlene Duncan
Arsinée Khanjian
Ashleigh Aston Moore
Ashley Leggat
Athole Shearer
Autumn Phillips
Françoise Yip
Henriette Ivanans
Iréna Mayeska
Isabelle Cyr
Isabelle Gélinas
Isabelle Lucas
Isabelle Mejias
Joely Collins
Johanne Harrelle
Leni Parker
Lenore Zann
Balinder Johal
Barbara Chilcott
Barbara Eve Harris
Barbara Hamilton
Barbara Kent
Barbara Mamabolo
Barbara March
Barbara Radecki
Barbara Read
Barbara Williams
Belinda Metz
Belinda Montgomery
Beth Kaplan
Bette MacDonald
Beverley Cooper
Bif Naked
Billie Mae Richards
Blanche Crozier
Bre Blair
Britt McKillip
Brittany Allen
Bronwen Mantel
Brooke Nevin
Bryn McAuley
Cali Timmins
Camille Sullivan
Candy Palmater
Carla Collins
Carla Lehmann
Carly McKillip
Carly Pope
Caroline Dhavernas
Caroline Néron
Caroline Rhea
Carrie-Anne Moss
Genevieve Blinn
Geneviève Bujold
Lally Cadeau
Lois Bromfield
Lois Maxwell
Lolita Davidovich
Loretta Jafelice
Lori Hallier
Lorraine Pintal
Lottie Pickford
Louise Robey
Louisette Dussault
Magda Apanowicz
Maggie Blue O'Hara
Miranda Kwok
Miranda de Pencier
Miriam McDonald
Muriel Guilbault
Muriel Millard
Pascale Bussières
Pascale Montpetit
Patricia Collins
Patricia Dahlquist
Patricia Drake
Patricia Farmer
Patricia Harras
Patricia Owens
Patricia Phillips
Patricia Summersett
Stana Katic
Sugar Lyn Beard
Tamara Hope
Tamara Podemski
Tamara Taylor
Tanaya Beatty
Tania Fédor
Tanja Jacobs
Tantoo Cardinal
Tanya Moodie
Tara Strong
Tatiana Maslany
Teresa Stratas
Terri Hawkes
Melody Anderson
Mercedes McNab
Mercedes Palomino
Meredith Henderson
Molly Parker
Mona Louise Parsons
Moneca Stori
Neve Campbell
Peggy Cartwright
Polly Shannon
Sarah Lafleur
Sarah Manninen
Sarah Polley
Sarah Strange
Sasha Clements
Shirley Douglas
Shirley Knight
Soo Garay
Sook-Yin Lee
Tabitha St. Germain
Thea Gill
Theresa Lee
Torri Higginson
Victoria Pratt
Willow Johnson
Wilma Pelly
Yvette Brind'Amour
Yvette Lu
Yvonne De Carlo
Cecilia Parker
Celia Franca
Chantal Quesnel
Chantal Strand
Charlene Aleck
Dorothy Patrick
Dorothy Stratten
Guylaine Tremblay
Gwynyth Walsh
Ingrid Kavelaars
Ingrid Torrance
Jean Adair
Jean Yoon
Jeannie Elias
Jen Gould
Jennifer Dale
Jennifer Hale
Jennifer Irwin
Jennifer Pisana
Jennifer Podemski
Jenny Cooper
Josephine Crowell
Joy Tanner
Joyce Meadows
Jud Tylor
Julia Arthur
Julia Sarah Stone
Julie Lemieux
Julie Stewart
Juliette Gosselin
Maud Allan
Maude Eburne
Neeru Bajwa
Nell Shipman
Nia Vardalos
Nicky Guadagni
Nicole Bouma
Nicole Germain
Nicole Jaffe
Nicole Lyn
Nicole Oliver
Nicole de Boer
Rebecca Shoichet
Roxanne Kernohan
Ruby Bhatia
Ruby Keeler
Samantha Ferris
Shannon Chan-Kent
Shannon Farnon
Sharon Acker
Sharon Lewis
Shelley Thompson
Tracey Hoyt
Tracey Moore
Tracy Ryan
Tracy Wright
Denise Brosseau
Denise Ho
Denise Morelle
Fannie Tremblay
Fay Wray
Gabrielle Lazure
Gabrielle Miller
Gabrielle Rose
Gail Gilmore
Gail Maurice
Kiana Madeira
Kim Cattrall
Kim Huffman
Kim Renders
Kimberly Huie
Kristi Angus
Kristin Booth
Kristin Lehman
Kristy Yang
Leslie Hope
Lexa Doig
Maxim Roy
May Tully
Mia Kirshner
Natasha Henstridge
Stacie Mistysyn
Valri Bromfield
Vanessa Lengies
Wanda Cannon
Caterina Scorsone
Catherine Disher
Catherine Fitch
Catherine Mary Stewart
Catherine O'Hara
Catherine Reitman
Cathy Elliott
Cathy Weseluck
Colleen Rennison
Cosette Lee
Cree Summer
Elisabeth Rosen
Elisha Cuthbert
Elizabeth Hess
Ellen David
Ellen Dubin
Ellen McElduff
Ellora Patnaik
Emilie-Claire Barlow
Emily Hampshire
Emily Perkins
Emily VanCamp
Emmanuelle Chriqui
Emmanuelle Vaugier
Emmanuelle Zeesman
Enuka Okuma
Eria Fachin
Erica Luttrell
Erin Fitzgerald
Erin Fleming
Erin Mathews
Francine Racette
Georgie Collins
Gloria Reuben
Grace Darmond
Grace Matthews
Ilse von Glatz
Karen Bernstein
Karen Robinson
Kari Matchett
Karine Vanasse
Lauren Collins
Laurence Leboeuf
Laurieann Gibson
Linda Ballantyne
Linda Griffiths
Linda Kash
Linda Sorenson
Linda Sorgini
Lindy Booth
Lisa Ann Beley
Lisa Bronwyn Moore
Lisa Jakub
Lisa Langlois
Lisa Ray
Lisa Yamanaka
Lynda Boyd
Maria Vacratsis
Marie-Chantal Perron
Marie-Josée Croze
Marie-Soleil Tougas
Marie Dressler
Marie Gignac
Marie Prevost
Marjorie White
Martha Burns
Martha MacIsaac
Meg Tilly
Megan Fahlenbock
Megan Follows
Megan Leitch
Meghan Ory
Melanie Merkosky
Melanie Nicholls-King
Melissa Altro
Melissa Auf der Maur
Melissa McIntyre
Melissa Roxburgh
Michele Scarabelli
Micheline Bernard
Michelle Meyrink
Michelle Nolden
Michelle Rossignol
Michie Mee
Pierrette Robitaille
Shadia Simmons
Shalom Harlow
Stefanie von Pfetten
Stephanie Anne Mills
Stephanie Morgenstern
Sydney Sturgess
Sylvia Lennick
Sylvie Drapeau
Charlotte Arnold
Charlotte Fielden
Charlotte Hennessey
Charlotte Sullivan
Chelan Simmons
Chelsea Hobbs
Christina Cox
Christine Brubaker
Christine Chatelain
Christine Harnos
Christy Chung
Cindy Dolenc
Cindy Sampson
Claire Adams
Claire Pimparé
Claire Rankin
Céline Bonnier
Dai Turgeon
Dalbello
Dayle Haddon
Deanna Durbin
Deborah Duchêne
Deborah Kara Unger
Debra McGrath
Diana Leblanc
Diane Flacks
Diane Nyland
Dianne Heatherington
Ethel Knight Kelly
Florence La Badie
Florence Lawrence
Florence Paterson
Jackie Torrens
Jaclyn Linetsky
Janyse Jaud
Jayne Eastwood
Jess Walton
Jessalyn Gilsig
Jessica Paré
Jessica Steen
Jesslyn Fax
Jewel Staite
Jill Frappier
Jill Hennessy
Joanna Bacalso
Joanna Gleason
Jocelyne Loewen
Jodelle Ferland
Joe Bocan
Keegan Connor Tracy
Kelly Rowan
Kelly Sheridan
Mimi Kuzyk
Minnie Devereaux
Morag Smith
Rachel Blanchard
Rachel Hayward
Rachel Skarsten
Rachel Wilson
Rachelle Lefevre
Rae Dawn Chong
Reagan Pasternak
Crystle Lightning
Cynthia Dale
Cynthia Preston
Kamal Sidhu
Larissa Laskin
Laura Bertram
Laura Harris
Laura Vandervoort
Lucy DeCoutere
M. J. Kang
Mary Charlotte Wilcox
Mary Jo Eustace
Mary Pickford
Mary Walsh
Marya Delver
Maryke Hendrikse
Masasa Moyo
Tina Keeper
Toby Robins
Toby Tarnow
Haji
Hannah Lochner
Hope Garber
Jane Mallett
Janet Kidder
Janette Bertrand
Karyn Dwyer
Kate Trotter
Kate Vernon
Katharine Isabelle
Katheryn Winnick
Kathleen Barr
Kathleen Howard
Kathleen Laskey
Kathleen Robertson
Kathy Greenwood
Katie Boland
Katie Griffin
Katie Stuart
Katya Virshilas
Kay Callard
Kay Hawtrey
Kirsten Bishopric
Kirsten Prout
Liza Ross
Nadia Litz
Nancy Dolman
Nazneen Contractor
Ruta Lee
Susan Aceron
Susan Douglas Rubeš
Susan Glover
Susan Leblanc
Susan Roman
Susan Wright
Susanne Benton
Suzanne Champagne
Suzanne Cloutier
Suzanne Clément
Suzanne Lapointe
Suzanne Lebeau
Tedde Moore
Élise Guilbault
Éveline Gélinas
Heather Bambrick
Helen Hughes
Helen Shaver
Pauline Garon
Pauline Julien
Pauline Newstone
Phyllis Crane
Phyllis Marshall
Lili Haydn
Lillian Elliott
Lim Cho-cho
Marci Ien
Margaret Bannerman
Margaret Trudeau
Margot Kidder
Onna White
Pam Hyatt
