Abby Mavers
Abi Eniola
Abigail
Abigail Cruttenden
Ada Blanche
Ada Reeve
Adele Silva
Adrianne Allen
Adrienne Augarde
Adrienne Hill
Adrienne Posta
Alex Kingston
Alexandra Bastedo
Alexandra Gilbreath
Ali Bastian
Alice Amter
Alice De Winton
Aline Waites
Alison Fiske
Alison King
Alison Leggatt
Alison Pargeter
Alison Skipworth
Alison Steadman
Allie Esiri
Alma Taylor
Amanda Abbington
Amanda Barrie
Amanda Boxer
Amanda Donohoe
Amanda Drew
Amanda Hillwood
Amanda Muggleton
Amanda Pays
Amanda Redman
Amanda Root
Amanda de Cadenet
Amaryllis Garnett
Amelda Brown
Amelia Bayntun
Amelia Bullmore
Amy Brandon Thomas
Amy Dalby
Amy Nuttall
Amy Veness
Andrea Lowe
Andria Lawrence
Angela Cartwright
Angela Crow
Angela Curran
Angela Down
Angela Lansbury
Angela Piper
Angela Pleasence
Angela Scoular
Angela Thorne
Angelique Rockas
Ann Beach
Ann Casson
Ann Davies
Ann Lancaster
Ann Mitchell
Ann Stephens
Ann Todd
Ann Way
Anna Brecon
Anna Calder-Marshall
Anna Chancellor
Anna Cropper
Anna Friel
Anna Karen
Anna Keaveney
Anna Lee
Anna Madeley
Anna Neagle
Anna Palk
Anna Popplewell
Anna Quayle
Anna Wilson-Jones
Anna Wing
Annabel Mullion
Annabelle Apsion
Anne-Marie Duff
Anne Aston
Anne Aubrey
Anne Grey
Anne Kerr
Anne Reid
Anne Shelton
Anne Stallybrass
Anne Valery
Anneke Wills
Annette Benson
Annette Kerr
Annette Mills
Annette Robertson
Annie Esmond
Annie Ross
Antoinette Cellier
Anulka Dziubinska
April Olrich
April Pearson
April Walker
Arabella Holzbog
Archie Panjabi
Ashley Madekwe
Ashlie Walker
Athene Seyler
Audrey Fildes
Audrey White
Avice Landone
Avis Bunnage
Avril Angers
Avril Elgar
Freda Dowie
Freda Jackson
Imelda Staunton
Imogen Hassall
Imogen Stubbs
Indira Varma
Irene Browne
Irene Handl
Irene Rooke
Irene Tripod
Irene Vanbrugh
Iris Hoey
Iris Sadler
Isabel Dean
Isabel Jeans
Isabelle Lucas
Isla Bevan
Isobel Elsom
Joely Richardson
Leila Birch
Lena Ashwell
Lena Halliday
Lena Headey
Lia Williams
Barbara Barnes
Barbara Everest
Barbara Ferris
Barbara Jefford
Barbara Mitchell
Barbara New
Barbara Shelley
Barbara Steele
Barbara Tennant
Barbara Windsor
Beatrice Beckley
Beatrice Varley
Beatrix Lehmann
Belinda Lang
Belinda Lee
Belinda Sinclair
Belinda Stewart-Wilson
Bella Emberg
Belle Chrystall
Benita Hume
Bertha Belmore
Beryl Measor
Beryl Mercer
Beryl Reid
Bessie Carter
Beth Goddard
Betty Astell
Betty Balfour
Betty Compton
Betty Faire
Betty Huntley-Wright
Betty Jardine
Betty Jumel
Betty Lawford
Betty Marsden
Beverley Callard
Beverley Cressman
Beverly Rudd
Bharti Patel
Billie Carleton
Billie Piper
Binnie Barnes
Binnie Hale
Blanche Forsythe
Bonnie Langford
Brenda Blethyn
Brenda Bruce
Brenda Cowling
Brenda Dean Paul
Brenda Elder
Brenda de Banzie
Briony Behets
Britt Allcroft
Buki Akib
Bunty Bailey
Camilla Power
Camille Coduri
Cara Seymour
Carli Norris
Carmen Chaplin
Carmen Ejogo
Carmen Silvera
Carmen du Sautoy
Carol Marsh
Carol White
Carole Ashby
Carole Lesley
Carole Shelley
Caroline Blakiston
Caroline Bliss
Caroline Catz
Caroline Dowdeswell
Caroline Goodall
Caroline John
Caroline Munro
Caroline Quentin
Caroline Webster
Carolyn Pickles
Gemma Jones
Gemma Merna
Genine Graham
Hy Hazell
Laila Morse
Lalla Ward
Lana Morris
Lois Sturt
Lorraine Ashbourne
Lottie Blackford
Lou Doillon
Louisa Lytton
Louise Dearman
Louise Delamere
Louise Duprey
Louise Germaine
Louise Hampton
Louise Harrison
Louise Jameson
Louise Lombard
Madelaine Newton
Madeleine Carroll
Madeleine Lucette Ryley
Madeline Smith
Madge Lessing
Madge Ryan
Madge Stuart
Madge Titheradge
Madge Tree
Maggie Jones
Maggie O'Neill
Maggie Ollerenshaw
Maggie Smith
Maggie Steed
Miranda Richardson
Miriam Margolyes
Mischa Barton
Mo Hayder
Muriel Aked
Muriel Angelus
Muriel George
Muriel Martin-Harvey
Pat Ashton
Pat Coombs
Pat Hitchcock
Pat Kirkwood
Pat Paterson
Pat Phoenix
Patience Collier
Patricia Brake
Patricia Burke
Patricia Cutts
Patricia Franklin
Patricia Garwood
Patricia Haines
Patricia Harmsworth, Viscountess Rothermere
Patricia Hayes
Patricia Hodge
Patricia Jessel
Patricia Laffan
Patricia Lawrence
Patricia Medina
Patricia Plunkett
Patricia Roc
Patricia Routledge
Sue Bond
Sue Cleaver
Sue Devaney
Sue Holderness
Sue Jenkins
Sue Johnston
Sue Perkins
Summer Strallen
Suranne Jones
Tamara Lees
Tamsin Greig
Tamzin Malleson
Tamzin Outhwaite
Tania Mallet
Tara Fitzgerald
Mercy Hatton
Meriel Forbes
Merle Oberon
Moira Brooker
Moira Foot
Moira Quirk
Mollie Harris
Mollie Maureen
Mollie Sugden
Molly Adair
Molly Lamont
Molly Peters
Mona Barrie
Mona Washbourne
Monica Dolan
Monica Evans
Olga Nethersole
Olive Sloane
Olivia Colman
Olivia Hamnett
Olivia Hussey
Olivia Williams
Olivia d'Abo
Olivia de Havilland
Olwen Brookes
Pearl Hackney
Peg Entwistle
Peggy Ann Wood
Peggy Ashcroft
Peggy Carlisle
Peggy Hyland
Peggy Mount
Peggy Pryde
Peggy Simpson
Penelope Dudley-Ward
Penelope Horner
Penelope Keith
Penelope Wilton
Penny Irving
Polly Emery
Polly Maberly
Polly Walker
Polly Ward
Queenie Leonard
Queenie Watts
Sarah Lancashire
Sarah Long
Sarah Miles
Sarah Moyle
Sarah Parish
Sarah Patterson
Sarah Payne
Sarah Sutton
Sarah Woodward
Sari Maritza
Sarita Choudhury
Sasha Behar
Saskia Reeves
Saskia Wickham
Shirley Eaton
Shirley Stelfox
