Alison Doody
Audrey Dalton
Bairbre Dowling
Bernadette O'Farrell
Bernie Nolan
Betty Chancellor
Brenda Fricker
Caitlín Maude
Gemma Craven
Genevieve O'Reilly
Patricia Collinge
Mollie Maureen
Olga Wehrly
Olivia Tracey
Peggy Cummins
Sorcha Cusack
Vicky Lane
Doreen Keogh
Jennifer Gibney
Joyce Redman
Maud Gonne
Maureen Cusack
Maureen Delany
Maureen O'Hara
Maureen O'Sullivan
Maureen Pryor
Niamh Cusack
Niamh McGrady
Sheila Manahan
Shelah Richards
Denise Gough
Fay Sargent
Gabrielle Reidy
Kerry Condon
May Craig
Máire MacSwiney Brugha
Catherine Walker
Catherine Walsh
Cathleen Delany
Geraldine Plunkett
Gillian Hanna
Gina Moxley
Gladys Henson
Lisa Dwan
Maire O'Neill
Maria Doyle Kennedy
Marie Kean
Marie Mullen
Sinéad Cusack
Sinéad Keenan
Charlotte Bradley
Cindy O'Callaghan
Claudia Carroll
Eileen Crowe
Eileen Dennes
Eileen Percy
Eithne Dunne
Elaine Cassidy
Eve Watkinson
Fiona Glascott
Fiona O'Shaughnessy
Fiona Shaw
Fionnula Flanagan
Joan Brosnan Walsh
Joan Henley
Joan O'Hara
Martina Stanley
Mary Charleson
Kate Price
Kathleen O'Regan
Kathleen Ryan
Kathy Kiera Clarke
Kitty McShane
Moyna Macgill
Neasa Ní Annracháin
Susan Fitzgerald
Susan Lynch
Helen Laird
Orla Brady
Nora O'Mahoney
Ria Mooney
Rosemary Henderson
Sara Allgood
Sarah Bolger
Una O'Connor
Veronica Turleigh
