Aleksandra Zakharova
Alexandra Nazarova
Alisa Freindlich
Alla Tarasova
Alyona Babenko
Anastasia Volochkova
Anastasia Voznesenskaya
Anel Sudakevich
Anna Brenko
Anna Kovalchuk
Anna Mikhalkova
Anna Sten
Irina Alfyorova
Irina Apeksimova
Irina Gubanova
Irina Kupchenko
Irina Leonova
Irina Miroshnichenko
Irina Pantaeva
Irina Rozanova
Irina Zarubina
Tamara Geva
Tamara Makarova
Tamara Syomina
Tamilla Agamirova
Tatiana Abramova
Tatyana Dogileva
Tatyana Drubich
Tatyana Karpova
Tatyana Konyukhova
Tatyana Kudryavtseva
Tatyana Lyutaeva
Tatyana Vasilyeva
Tatyana Vedeneyeva
Olga Antonova
Olga Barnet
Olga Dihovichnaya
Olga Kabo
Olga Ostroumova
Olga Volkova
Olga Zhizneva
Olga von Root
Pearl Hobson
Polina Agureeva
Rina Zelyonaya
Viktoriya Isakova
Viktoriya Tolstoganova
Yuliya Aug
Yuliya Borisova
Yuliya Rutberg
Yuliya Solntseva
Zemfira Tsakhilova
Inna Churikova
Inna Makarova
Julia Vysotskaya
Nelli Uvarova
Nelly Korniyenko
Nina Agapova
Nina Arkhipova
Nina Doroshina
Nina Grebeshkova
Nina Ruslanova
Nina Shatskaya
Nina Urgant
Nina Usatova
Nina Vanna
Rufina Nifontova
Galina Belyayeva
Galina Konovalova
Galina Stakhanova
Galina Volchek
Ksenia Kuprina
Kseniya Ryabinkina
Maya Bulgakova
Natalia Makarova
Natalia Vdovina
Natalya Andreychenko
Natalya Arinbasarova
Natalya Belokhvostikova
Natalya Gundareva
Natalya Khorokhorina
Natalya Krachkovskaya
Natalya Lisenko
Natalya Murashkevich
Natalya Negoda
Natalya Sedykh
Natalya Seleznyova
Natalya Vavilova
Valentina Kuindzhi
Valentina Talyzina
Valentina Telichkina
Valentina Tokarskaya
Valentina Vladimirova
Valeria Barsova
Varvara Popova
Coretti Arle-Titz
Elena Korikova
Elena Mayorova
Elena Sanayeva
Elena Yakovleva
Elina Bystritskaya
Elisabeth Pinajeff
Emma Harris
Glikeriya Bogdanova-Chesnokova
Lyanka Gryu
Lydia Potechina
Lyubov Orlova
Lyubov Polishchuk
Lyudmila Chursina
Lyudmila Gnilova
Lyudmila Maksakova
Lyudmila Polyakova
Lyudmila Porgina
Lyudmila Vlasova
Lyudmila Zaytseva
Maria Babanova
Maria Blumenthal-Tamarina
Maria Mashkova
Maria Mironova
Maria Ouspenskaya
Maria Politseymako
Marianna Yablonskaya
Marina Aleksandrova
Marina Dyuzheva
Marina Neyolova
Marina Zudina
Mariya Aronova
Yekaterina Gradova
Yekaterina Volkova
Yelena Koreneva
Yelena Kuzmina
Yelena Shevchenko
Yevgenia Dobrovolskaya
Yevgeniya Glushenko
Yevgeniya Khanayeva
Yevgeniya Simonova
Zhanna Bolotova
Zhanna Prokhorenko
Zinaida Kiriyenko
Zinaida Vorkul
Zoya Buryak
Darya Moroz
Darya Poverennova
Darya Volga
Dinara Drukarova
Ekaterina Durova
Ekaterina Savinova
Evdokiya Germanova
Evgeniya Dmitrieva
Evgeniya Kryukova
Faina Ranevskaya
Larisa Guzeyeva
Larisa Luppian
Ludmila Savelyeva
Ludmila Valentinovna Berlinskaya
Serafima Birman
Klara Rumyanova
Liya Akhedzhakova
Nadezhda Markina
Sofya Levitina
Svetlana Druzhinina
Svetlana Nemolyaeva
Svetlana Orlova
Svetlana Toma
Raisa Ryazanova
Ramilya Iskander
Lidiya Smirnova
Lillian Malkina
Margarita Terekhova
Nonna Grishayeva
Vera Alentova
Vera Alexandrovna Tiscenko Calder
Vera Baranovskaya
Vera Georgiyevna Orlova
Vera Glagoleva
Vera Karalli
Vera Kuzmina
Vera Malinovskaya
Vera Maretskaya
Vera Storozheva
Vera Vasilyeva
Vera Voronina
