Ana Sofrenović
Anica Dobra
Beba Lončar
Bojana Stefanović
Branka Katić
Mirjana Karanović
Tamara Vučković
Tanja Bošković
Olga Odanović
Olivera Katarina
Olivera Marković
Sonja Savić
Vladislava Milosavljević
Zelda Tinska
Jelena Tinska
Seka Sablić
Nataša Ninković
Nataša Tapušković
Gordana Gadžić
Gorica Popović
Maja Mandžuka
Tomanija Đuričko
Zlata Petković
Mira Stupica
Katarina Radivojević
Ljiljana Blagojević
Ljubica Otašević
Nadja Regin
Ružica Sokić
Snežana Babić
Svetlana Bojković
Žanka Stokić
Vesna Trivalić
Vesna Čipčić
