Anarkali Akarsha
Anoja Weerasinghe
Anula Karunathilaka
Anusha Damayanthi
Aruni Rajapaksha
Iranganie Serasinghe
Geetha Kumarasinghe
Hyacinth Wijeratne
Miyuri Samarasinghe
Punya Heendeniya
Sumana Amarasinghe
Sureni Senarath
Menik Kurukulasuriya
Pearl Vasudevi
Vishaka Siriwardana
Chandra Kaluarachchi
Maureen Charuni
Maureen Hingert
Nethalie Nanayakkara
Nilmini Buwaneka
Nita Fernando
Samantha Epasinghe
Shanthi Lekha
Deepani Silva
Denawaka Hamine
Kusum Renu
Vasanthi Chathurani
K. Thavamani Devi
Malini Fonseka
Sirimathi Rasadari
Yashoda Wimaladharma
Yolande Bavan
Damitha Abeyratne
Dilhani Ekanayake
Jaya Guhanathan
Mabel Blythe
Rukmani Devi
Swarna Mallawarachchi
Himali Sayurangi
Ramani Bartholomeusz
Ramya Wanigasekara
Sandhya Kumari
