Anna F.
Franziska Weisz
Birgit Doll
Birgit Minichmayr
Loni von Friedl
Lotte Ledl
Madita
Miriam Stein
Mirjam Weichselbraun
Sunnyi Melles
Monica Bleibtreu
Sonja Kirchberger
Sophie Rois
Julia Stemberger
Nina Proll
Regina Fritsch
Roxane Duran
Valerie Pachner
Elisabeth Trissenaar
Emily Cox
Gerlinde Locker
Gertraud Jesserer
Marion Mitterhammer
Sybil Danning
Christa Schwertsik
Christiane Hörbiger
Christine Buchegger
Christine Ostermayer
Christine Schuberth
Dagmar Koller
Erni Mangold
Eva Löbau
Larissa Marolt
Laura Bilgeri
Senta Berger
Katharina Böhm
Nadja Tiller
Heidelinde Weis
