Adrienne Haan
Alena Gerber
Alexandra Kamp
Alexandra Maria Lara
Alexandra Neldel
Alexandra Schiffer
Alicia von Rittberg
Alissa Jung
Andrea Sawatzki
Angela Schanelec
Angela Winkler
Anja Kling
Anja Knauer
Anke Engelke
Anna Brüggemann
Anna Katharina Schwabroh
Anna Loos
Anna Maria Mühe
Anna Schudt
Anna Thalbach
Annett Fleischer
Antje Nikola Mönning
Antje Traue
Araba Walton
Franziska Junge
Franziska Petri
Franziska Troegner
Franziska Walser
Friederike Becht
Fritzi Haberlandt
Hendrikje Fitz
Henriette Confurius
Henriette Richter-Röhl
Irene Clarin
Iris Berben
Irm Hermann
Isolde Barth
Johanna Liebeneiner
Johanna Schall
Johanna Wokalek
Johanna von Koczian
Lena Stolze
Ayesha Kapur
Aylin Tezel
Ayọ
Barbara Auer
Barbara Rudnik
Barbara Schöne
Barbara Sukowa
Beate Finckh
Beatrice Richter
Bella Dayne
Bettina Hoppe
Bettina Zimmermann
Bibiana Beglau
Birte Glang
Bärbel Röhl
Carina Wiese
Carmen-Maja Antoni
Carol Campbell
Carolin Fortenbacher
Lotte Flack
Miriam Pielhau
Mirjam Novak
Sunnyi Melles
Tanja Wenzel
Teresa Weißbach
Meret Becker
Meryem Uzerli
Monica Bleibtreu
Olivia Pascal
Sarah Thonig
Saskia Fischer
Saskia Rosendahl
Sonja Gerhardt
Sonja Sutter
Sonja Ziemann
Sophia Thomalla
Sophie Wepper
Thekla Carola Wied
Theresa Scholze
Zazie Beetz
Doris Kunstmann
Doris Schade
Inge Keller
Ingrid Andree
Ingrid Caven
Jella Haase
Jennifer Nitsch
Jennifer Ulrich
Jenny Elvers
Jenny Schily
Josephine Jacob
Judy Winter
Julia Dietze
Julia Hummer
Julia Jentsch
Julia Stinshoff
Julia Thurnau
Juliane Köhler
Julie Engelbrecht
Nicolette Krebitz
Nikola Kastner
Nina Hoss
Nina Kunzendorf
Nina Petri
Nisma Cherrat
Dennenesch Zoudé
Faye Montana
Felicitas Woll
Gaby Dohm
Kerstin Landsmann
Krista Posch
Kristin Meyer
Leslie Malton
Narges Rashidi
Nastassja Kinski
Natalia Wörner
Valerie Niehaus
Vanessa Krüger
Cora Schumacher
Cordula Trantow
Corinna Harfouch
Cornelia Froboess
Cosma Shiva Hagen
Elena Kazan
Eleonore Weisgerber
Elisa Schlott
Elisabeth Ebeling
Elisabeth Trissenaar
Elisabeth Wiedemann
Elke Aberle
Elke Sommer
Ellen Schwiers
Emily Atef
Emma Schweiger
Franka Potente
Gerit Kling
Gesine Cukrowski
Gila von Weitershausen
Gina-Lisa Lohfink
Gina Alice Stiebitz
Gisela Trowe
Gisela Uhlen
Jutta Hoffmann
Jutta Speidel
Jutta Wachowiak
Jördis Triebel
Karen Friesicke
Karin Baal
Karin Boyd
Karin Dor
Karin Hanczewski
Karina Kraushaar
Karina Krawczyk
Lea van Acken
Lis Verhoeven
Lisa Kreuzer
Lisa Maria Potthoff
Lisa Martinek
Lisa Tomaschewsky
Lisa Vicari
Luise Heyer
Maja Maranow
Maja Schöne
Maria Furtwängler
Maria Schrader
Maria Sebaldt
Maria Simon
Marianne Sägebrecht
Marie-Luise Marjan
Marie Bäumer
Marie Zielcke
Mariella Ahrens
Marina Anna Eich
Marion Kracht
Marita Breuer
Melika Foroutan
Michaela May
Michaela Steiger
Michèle Marian
Sexy Cora
Sibel Kekilli
Silvia Seidel
Simone Rethel
Simone Thomalla
Stephanie Stumph
Sybille Waury
Sylta Fee Wegmann
Charlotte Kerr
Chiara Schoras
Christa Lang
Christel Peters
Christiane Hammacher
Christiane Krüger
Christiane Paul
Christina Plate
Christine Kaufmann
Christine Schorn
Christine Wodetzky
Claudia Ciesla
Claudia Michelsen
Claudia Schiffer
Claudine Wilde
Cleo von Adelsheim
Dagmar Manzel
Dana Vávrová
Daniela Holtz
Daniela Katzenberger
Diana Amft
Diana Staehly
Diane Kruger
Dietlinde Turban
Edith Hancke
Esther Schweins
Eva-Maria Hagen
Eva Christian
Eva Habermann
Eva Ingeborg Scholz
Eva Maler
Eva Maria Meineke
Eva Mattes
Eva Meckbach
Evelyn Sharma
Florence Kasumba
Jasmin Gerat
Jasmin Lord
Jasmin Tabatabai
Jessica Boehrs
Jessica Schwarz
Jing Xiang
Mink Brar
Monika Baumgartner
Laura Berlin
Laura Osswald
Lucie Pohl
Mandala Tayde
Martina Gedeck
Martina Hill
Selma Ergeç
Witta Pohl
Wolke Hegenbarth
Grischa Huber
Grit Boettcher
Gudrun Landgrebe
Gundi Ellert
Gundis Zámbó
Gundula Rapsch
Hanna Schwamborn
Hanna Schygulla
Hannah Herzsprung
Hannelore Elsner
Hannelore Hoger
Jana Pallaske
Janette Rauch
Janin Ullmann
Janina Uhse
Jordan Carver
Josefine Preuß
Karoline Eichhorn
Karoline Herfurth
Karoline Schuch
Katerina Jacob
Katharina Matz
Katharina Müller-Elmau
Katharina Schubert
Katharina Schüttler
Katharina Thalbach
Kathrin Ackermann
Katja Flint
Katja Frenzel
Katja Riemann
Katrin Heß
Katrin Sass
Klara Höfels
Liv Lisa Fries
Nadeshda Brennicke
Nadia Hilker
Nadja Becker
Nadja Uhl
Natja Brunckhorst
Ruth Drexel
Ruth Maria Kubitschek
Susan Stahnke
Susann B. Winter
Susanne Lothar
Susanne Uhlen
Susu Padotzke
Suzan Anbeh
Suzanne Bernert
Suzanne von Borsody
Svenja Jung
Svenja Pages
Ursula Karusseit
Ursula Karven
