Abimbola Craig
Ada Ameh
Adaora Ukoh
Adebukola Oladipupo
Aderounmu Adejumoke
Adesewa Josh
Adesua Etomi
Adunni Ade
Afro Candy
Aisha Abimbola
Alex Lopez
Amanda Ebeye
Angel Unigwe
Angela Okorie
Anna Banner
Anne Njemanze
Annie Macaulay-Idibia
Ariyike Akinbobola
Funke Akindele
Funlola Aofiyebi-Raimi
Ireti Osayemi
Iretiola Doyle
Isabella Ayuk
Joke Muyiwa
Joke Silva
Ayo Adesanya
Bamike Olawunmi
Barbara Soky
Beatrice Funke Ogunmola
Becky Umeh
Belinda Effah
Beverly Naya
Bikiya Graham-Douglas
Bimbo Ademoye
Bimbo Akintola
Bimbo Oshin
Bimbo Thomas
Binta Ayo Mogaji
Biola Adebayo
Bisi Komolafe
Bisola Aiyeola
Bolaji Ogunmola
Bose Alao
Bukky Ajayi
Bukky Wright
Carol King
Caroline Chikezie
Carolyna Hutchings
Genevieve Nnaji
Genny Uzoma
Ibinabo Fiberesima
Lola Margaret
Lota Chukwu
Paschaline Alex Okoli
Patience Oghre Imobhio
Taiwo Ajai-Lycett
Tamara Eteimo
Tana Adelana
Teni Aofiyebi
Mercy Aigbe
Mercy Eke
Mercy Ima Macjoe
Mercy Johnson
Moji Afolayan
Moji Olaiya
Momee Gombe
Monalisa Chinda
Olaide Olaogun
Ololade Ebong
Oluwakemi Adejoro Ojo
Peggy Ovire
Peju Ogunmola
Queen Nwokoye
Saratu Gidado
Somkele Iyamah
Sophie Alakija
Thelma Okoduwa
Theresa Edem
Tope Oshin
Toyin Abraham
Toyin Adegbola
Toyin Afolayan
Toyin Raji
Uche Elendu
Uche Jombo
Ufuoma McDermott
Uju Okeke
Victoria Inyama
Yvonne Ekwere
Yvonne Enakhena
Yvonne Okoro
Yvonne Orji
Zainab Balogun
Dolapo Adeleke
Dolapo Oni
Dolly Unachukwu
Dorcas Shola-Fapson
Doris Simeon
Ini Dima-Okojie
Ini Edo
Ini Ikpe
Jemima Osunde
Jennifer Eliogu
Joy Alphonsus
Joyce Kalu
Judith Audu
Juliana Olayode
Jumoke George
Jumoke Odetola
Maureen Ihua
Maureen Okpoko
Maureen Solomon
Ngozi Ezeonu
Nichole Banna
Nike Peller
Nikki Amuka-Bird
Niyola
Nkechi Blessing Sunday
Nkiru Sylvanus
Osas Ighodaro
Regina Chukwu
Regina Daniels
Sharon Ezeamaka
Sharon Ifedi
Sharon Ooja
Demi Isaac Oviawe
Destiny Etiko
Fati Muhammad
Fati Niger
Fausat Balogun
Khabirat Kafidipe
Kiki Omeili
Lepa Shandy
Mayen Adetiba
Wumi Toriola
Wunmi Mosaku
Cossy Orjiakor
Elma Mbadiwe
Elvina Ibru
