Aimee Horne
Anita Louise Combe
Annie Jones
Annie Maynard
Imogen Annesley
Belinda McClory
Genevieve O'Reilly
Lo Carmen
Lois Ramsey
Louise Harris
Teresa Palmer
Penny Ramsey
Sarah Snook
Sonia Todd
Victoria Hill
Judith Anderson
Samantha Noble
Samara Weaving
Tilda Cobham-Hervey
Tracy Mann
Kestie Morassi
Elizabeth Alexander
Elspeth Ballantyne
Melissa Bergland
Sianoa Smit-McPhee
Dichen Lachman
Esme Melville
Luca Sardelis
Hollie Andrew
Holly Brisley
Janet Ramsay Johnson
Kassandra Clementi
Kate Box
Kate Fischer
Kavitha Anandasivam
Liddy Clark
Margaret Christensen
Sarah Hudson
Trilby Clark
