Ada Livitsanou
Aggeliki Daliani
Aleka Stratigou
Alexandra Ordolis
Aliki Vougiouklaki
Anastasia Tsilimpiou
Angeliki Papoulia
Anna-Maria Papaharalambous
Anna Mantzourani
Anna Panayiotopoulou
Anna Rezan
Antigone Metaxa-Krontera
Ariane Labed
Athena Michailidou
Irene Genna
Irene Koumarianou
Joly Garbi
Beata Asimakopoulou
Betty Arvaniti
Miranda Myrat
Tatiana Papamoschou
Melpo Kosti
Olga Karlatos
Rika Vagiani
Vicky Harris
Vicky Vanita
Zeta Makripoulia
Nitsa Tsaganea
Despina Vandi
Keti Chomata
Koula Agagiotou
Corinna Tsopei
Elda Panopoulou
Elena Nathanael
Eleni Papadaki
Eleni Rantou
Georgia Apostolou
Georgia Vasileiadou
Gizela Dali
Kora Karvouni
Koralia Karanti
Maria Martika
Maria Nafpliotou
Marie Wilson
Marika Kotopouli
Marika Krevata
Marika Nezer
Marilita Lambropoulou
Maro Kontou
Martha Karagianni
Melia Kreiling
Melina Mercouri
Stella Stratigou
Tonia Sotiropoulou
Christina Tsafou
Chrysa Spiliotis
Clio-Danae Othoneou
Daniela Amavia
Eva Kotamanidou
Evelina Papantoniou
Evi Marandi
Tzeni Karezi
Mary Aroni
Mary Lalopoulou
Mary Tsoni
Smaro Stefanidou
Katerina Gogou
Katerina Lehou
Katerina Moutsatsou
Katerina Yioulaki
Katina Paxinou
Haruna Ikezawa
Rena Pagrati
Rena Stratigou
Noni Ioannidou
Popi Malliotaki
Sapfo Notara
