Allison Harding
Amy Molloy
Bronágh Taggart
Bríd Brennan
Tara Lynne O'Neill
Zara Turner
Ceara Grehan
Jenn Murray
Josie Walker
Juliet Cowan
Sheelagh Flanagan
Sheila McGibbon
Kiera Chaplin
Emma Jordan
Frances Tomelty
Geraldine Hughes
Geraldine O'Rawe
Karen Hassan
Marie Jones
Micheline Patton
Siobhán McKenna
Christina Bennington
Claire Rafferty
Eileen Percy
Eileen Pollock
Eithne Dunne
Laura Donnelly
Kate Thompson
Kathy Kiera Clarke
Moyna Macgill
Nauheed Cyrusi
Paula Malcomson
Pauline Goldsmith
Nuala McKeever
Rosena Brown
Una O'Connor
